Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
75,Zed,917,2.59:1,49.07%,5.12%,13.39%,199.23,"12,191"
76,Rengar,890,2.63:1,50.79%,4.97%,21.89%,188.93,"12,091"
77,Volibear,858,2.07:1,47.32%,4.79%,1.45%,174.68,"10,601"
78,Katarina,846,2.66:1,51.18%,4.72%,7.02%,173.01,"11,494"
79,Nunu & Willump,840,3.05:1,51.55%,4.69%,3.92%,146.41,"10,288"
80,Tahm Kench,837,2.6:1,49.82%,4.67%,1.63%,55.78,"8,180"
81,Aatrox,827,2.02:1,50.42%,4.62%,4.1%,180.25,"10,587"
82,Talon,800,2.7:1,47.63%,4.47%,4.51%,196.71,"12,008"
83,Kog'Maw,787,2.1:1,48.79%,4.39%,2.77%,199.8,"11,706"
84,Udyr,776,2.83:1,49.48%,4.34%,7.37%,183.75,"10,974"
85,Zoe,748,2.94:1,49.87%,4.18%,5.27%,131.12,"10,135"
86,Dr. Mundo,747,2.42:1,51.67%,4.18%,0.84%,196.57,"11,201"
87,Kennen,743,2.35:1,53.03%,4.15%,3.46%,184.64,"10,867"
88,Kayn,735,2.72:1,51.84%,4.1%,3.55%,181.35,"11,755"
89,Ryze,734,2.34:1,48.37%,4.1%,0.99%,212.18,"11,366"
90,Lucian,734,2.52:1,51.36%,4.1%,0.36%,207.47,"11,813"
91,Diana,733,2.45:1,48.43%,4.09%,1.02%,188.65,"11,541"
92,Fiora,732,1.62:1,50.55%,4.09%,7.38%,202.47,"11,700"
93,Senna,720,3.31:1,52.36%,4.02%,1.09%,33.92,"8,793"
94,Rumble,708,2.36:1,49.58%,3.95%,1.31%,183.18,"10,852"
95,Pantheon,703,2.21:1,52.35%,3.93%,0.89%,123.57,"10,164"
96,Xin Zhao,701,2.68:1,48.93%,3.91%,0.33%,161.26,"10,793"
97,Aphelios,692,2.18:1,49.71%,3.86%,0.45%,204.95,"12,004"
98,Sona,690,2.98:1,47.1%,3.88%,0.58%,28.17,"7,861"
99,Ziggs,663,2.71:1,49.32%,3.7%,0.45%,213.01,"11,761"
100,Vladimir,662,2.45:1,48.79%,3.7%,5.25%,195.53,"11,016"
101,Renata Glasc,661,3.15:1,51.59%,3.69%,0.45%,27.9,"7,476"
102,Xerath,648,3.58:1,51.39%,3.62%,1.02%,166.09,"10,874"
103,Zeri,645,2.58:1,49.15%,3.6%,0.47%,230.65,"12,348"
104,Nocturne,639,3.09:1,48.83%,3.57%,1.41%,176.3,"11,029"
105,Akshan,638,2.86:1,51.88%,3.56%,4.12%,188.42,"12,512"
106,Soraka,633,3.24:1,51.03%,3.53%,1.45%,29.78,"7,222"
107,Tristana,629,2.29:1,43.24%,3.51%,0.59%,195.15,"11,897"
108,Zilean,596,3.75:1,51.51%,3.34%,1.08%,73.19,"8,074"
109,Darius,593,2.09:1,50.42%,3.31%,8.92%,194.36,"11,365"
110,Bel'Veth,589,3.15:1,51.61%,3.29%,9.88%,184.19,"11,757"
111,Brand,586,2.31:1,47.61%,3.27%,0.67%,153.09,"9,896"
112,Olaf,586,2.1:1,52.56%,3.27%,1.23%,192.08,"11,716"
113,Warwick,563,2.02:1,49.56%,3.14%,8.41%,157.7,"10,692"
114,Xayah,553,2.65:1,52.8%,3.09%,0.49%,217.35,"11,868"
115,Shaco,540,3.08:1,56.3%,3.02%,6.92%,134.65,"10,949"
116,Lillia,538,3.24:1,50%,3%,1.63%,189.11,"11,418"
117,Fiddlesticks,476,2.68:1,54.62%,2.66%,3.03%,142.98,"10,276"
118,Milio,474,3.62:1,45.57%,2.65%,2.19%,24.74,"7,019"
119,Lissandra,469,2.74:1,51.17%,2.62%,0.8%,185.34,"10,379"
120,Ornn,467,2.39:1,46.25%,2.62%,0.17%,165.93,"9,501"
121,Teemo,466,2.16:1,50.21%,2.6%,2.37%,199.33,"11,237"
122,Malphite,461,2.36:1,45.99%,2.58%,6.44%,164.41,"9,480"
123,Veigar,455,2.41:1,51.43%,2.55%,0.24%,196.84,"11,604"
124,Vayne,446,2.18:1,52.02%,2.49%,1.37%,185.15,"11,161"
125,Vex,424,2.62:1,51.42%,2.37%,2.04%,186.12,"11,157"
126,Taric,413,2.93:1,56.17%,2.31%,0.64%,41.92,"7,559"
127,Master Yi,408,2.48:1,52.7%,2.28%,7.39%,185.29,"12,071"
128,Gangplank,398,2.43:1,51.01%,2.22%,0.54%,210.06,"13,209"
129,Kassadin,392,2.5:1,45.15%,2.19%,3.02%,193.29,"11,429"
130,Aurelion Sol,387,3.25:1,51.42%,2.16%,0.47%,194.42,"11,483"
131,Rek'Sai,386,3.17:1,51.04%,2.16%,0.82%,155.64,"10,811"
132,Ivern,386,5:1,54.15%,2.16%,1.5%,132.23,"9,491"
133,Kled,384,2.15:1,45.05%,2.15%,0.36%,186.19,"11,643"
134,Miss Fortune,365,2.79:1,51.51%,2.04%,0.12%,205.02,"12,016"
135,Urgot,360,2.21:1,51.11%,2.02%,0.41%,190.76,"11,939"
136,Samira,358,2.37:1,55.87%,2%,2.35%,188.4,"12,516"
137,Anivia,354,2.84:1,49.44%,1.98%,1.13%,185.22,"10,664"
138,Sivir,353,2.71:1,50.14%,1.98%,0.22%,228.79,"11,905"
139,Evelynn,352,3.22:1,49.72%,1.97%,3.21%,151.07,"10,721"
140,Sion,345,2.06:1,51.01%,1.93%,0.13%,183.51,"10,649"
141,Kayle,341,2.09:1,48.09%,1.91%,0.8%,219.15,"11,676"
142,Twisted Fate,341,2.68:1,50.44%,1.91%,0.48%,167.12,"10,933"
143,Yuumi,334,3.89:1,37.43%,1.86%,5.26%,15.34,"6,585"
144,Singed,327,2.38:1,48.32%,1.83%,0.51%,177.55,"10,591"
145,Briar,327,2.51:1,54.74%,1.83%,1.54%,154.72,"11,528"
146,Rammus,323,3.24:1,47.06%,1.81%,1.46%,150.62,"10,280"
147,Sejuani,321,3.38:1,47.35%,1.79%,0.11%,153.49,"9,972"
148,Shen,316,3.28:1,55.06%,1.76%,0.31%,140.22,"9,255"
149,Nasus,304,1.83:1,42.11%,1.7%,1.4%,174.47,"10,292"
150,Vel'Koz,304,2.52:1,49.01%,1.71%,0.47%,143.63,"10,732"
151,Cassiopeia,303,2.05:1,50.83%,1.69%,1.62%,197.27,"11,148"
152,Morgana,290,3.18:1,47.24%,1.62%,1.89%,110.1,"9,283"
153,Tryndamere,286,1.67:1,46.85%,1.6%,1.75%,214.1,"11,552"
154,Twitch,284,2.18:1,40.14%,1.59%,0.75%,168.64,"11,403"
155,Mordekaiser,267,1.64:1,44.94%,1.49%,0.87%,178.61,"10,448"
156,Cho'Gath,244,2.17:1,47.54%,1.37%,0.23%,175.29,"10,262"
157,Fizz,241,2.8:1,53.94%,1.35%,0.62%,181.6,"11,821"
158,Sett,240,1.86:1,51.25%,1.35%,0.18%,167.9,"10,673"
159,Nilah,230,2.29:1,52.17%,1.28%,3.68%,186.48,"11,112"
160,Naafiri,211,2.53:1,48.82%,1.18%,0.23%,186.62,"10,970"
161,Trundle,194,1.48:1,48.97%,1.13%,0.16%,198.37,"12,014"
162,Annie,153,3.05:1,52.29%,0.86%,0.24%,154.33,"10,330"
163,Yorick,152,1.71:1,40.79%,0.85%,0.27%,201.93,"11,166"
164,Heimerdinger,147,2.19:1,48.98%,0.82%,0.52%,171.61,"10,402"
165,Amumu,138,2.2:1,39.13%,0.77%,0.89%,124.49,"9,251"
166,Illaoi,129,1.44:1,44.19%,0.72%,0.93%,206.99,"11,552"
167,Quinn,120,2.15:1,55.83%,0.67%,0.55%,170.27,"12,155"
168,Malzahar,99,2.67:1,52.53%,0.56%,0.6%,224.44,"11,559"
169,Shyvana,37,2.52:1,51.35%,0.21%,0.09%,197.76,"10,765"
