Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
74,Draven,"52,874",2.06:1,48.13%,5.14%,15.2%,188.31,"13,502"
75,Zyra,"52,551",2.35:1,52.04%,5.11%,5.4%,73.4,"9,826"
76,LeBlanc,"51,960",2.75:1,48.35%,5.05%,10.75%,156.79,"11,553"
77,Samira,"51,061",2.07:1,47.86%,4.97%,12.51%,182.57,"12,938"
78,Aatrox,"50,867",1.89:1,48.59%,4.95%,5.74%,174.89,"11,456"
79,Vex,"50,234",2.47:1,51.23%,4.89%,5.91%,175.19,"11,752"
80,Varus,"47,967",2.26:1,48.05%,4.67%,0.8%,185.27,"12,276"
81,Illaoi,"47,777",1.59:1,50.33%,4.65%,17.03%,185.69,"11,874"
82,Jayce,"46,839",2.02:1,46.92%,4.56%,0.56%,192.78,"12,280"
83,Sion,"46,823",1.8:1,50.63%,4.55%,0.59%,189.59,"12,306"
84,Renekton,"46,443",1.95:1,49.22%,4.52%,2.38%,195.6,"12,119"
85,Briar,"45,703",2.14:1,52.24%,4.45%,7.92%,171.99,"12,688"
86,Poppy,"45,651",2.35:1,50.27%,4.44%,2.28%,91.67,"10,011"
87,Shen,"45,524",2.91:1,49.92%,4.43%,0.7%,126.74,"10,152"
88,Ryze,"44,565",2.3:1,51.52%,4.34%,0.64%,211.44,"12,406"
89,Xayah,"43,721",2.33:1,49.28%,4.25%,0.85%,201.01,"12,455"
90,Lillia,"43,606",2.69:1,50.44%,4.24%,4.62%,187.42,"12,260"
91,Gwen,"43,605",1.93:1,49.29%,4.24%,2.91%,201.28,"12,635"
92,Sivir,"43,162",2.51:1,51.68%,4.2%,0.87%,226.21,"12,792"
93,Braum,"43,111",2.93:1,50.24%,4.19%,1.35%,30.44,"8,311"
94,Syndra,"42,598",2.43:1,49.79%,4.14%,2.24%,193.36,"12,374"
95,Riven,"42,584",1.99:1,49.04%,4.14%,1.47%,187.23,"12,096"
96,Tryndamere,"42,345",1.65:1,48.45%,4.12%,2.74%,213.8,"12,895"
97,Neeko,"42,071",2.21:1,48.79%,4.09%,1.56%,92.47,"10,167"
98,Milio,"41,153",3.8:1,52.25%,4%,1.88%,31.46,"7,994"
99,Ornn,"41,035",2.5:1,50.72%,3.99%,0.94%,170.36,"10,993"
100,Twitch,"40,979",2.26:1,47.16%,3.99%,2.37%,160.85,"12,576"
101,Gnar,"40,673",2.03:1,49.09%,3.96%,1.32%,176.99,"11,644"
102,Jarvan IV,"40,446",3.19:1,51.36%,3.93%,1.32%,165.51,"11,829"
103,Nunu & Willump,"39,665",2.54:1,49.86%,3.86%,0.63%,157.97,"11,209"
104,Soraka,"39,589",2.93:1,51.06%,3.85%,1.46%,29.83,"7,887"
105,Corki,"38,228",2.44:1,48.94%,3.72%,2.64%,205.29,"12,665"
106,Zac,"37,984",3.1:1,49.29%,3.7%,1.58%,152.11,"10,982"
107,Aurora,"37,329",2.46:1,48.6%,3.63%,6.76%,178.51,"11,471"
108,Talon,"36,741",2.25:1,49.12%,3.57%,1.04%,187.19,"12,552"
109,Orianna,"36,266",2.65:1,49%,3.53%,0.5%,186.33,"11,601"
110,Ziggs,"35,839",2.41:1,50.11%,3.49%,0.89%,180.92,"12,028"
111,Vladimir,"35,690",2.24:1,49.31%,3.47%,2.4%,190.34,"11,767"
112,Heimerdinger,"35,631",1.83:1,51.31%,3.47%,3.68%,171.67,"11,698"
113,Fiddlesticks,"35,507",2.51:1,50.38%,3.45%,1.83%,163.17,"11,812"
114,Aphelios,"34,648",1.98:1,48.82%,3.37%,1.14%,188.26,"12,287"
115,Rakan,"34,323",2.85:1,48.95%,3.34%,0.49%,35.42,"8,233"
116,Urgot,"34,142",2.05:1,50.88%,3.32%,1.16%,191,"12,570"
117,Sejuani,"33,574",2.99:1,49.69%,3.27%,0.7%,166.87,"11,274"
118,Xin Zhao,"31,384",2.24:1,50.04%,3.05%,0.51%,170.51,"11,888"
119,Rengar,"30,808",2.01:1,45.04%,3%,2.72%,183.11,"12,237"
120,Alistar,"30,627",2.45:1,48.54%,2.98%,0.9%,35.17,"8,275"
121,Zoe,"30,294",2.49:1,48.05%,2.95%,1.23%,138.17,"10,947"
122,K'Sante,"30,276",2.04:1,47.61%,2.95%,3.46%,176.15,"11,084"
123,Camille,"28,951",1.94:1,48.66%,2.82%,1.16%,162.38,"11,538"
124,Janna,"28,050",3.28:1,51.68%,2.73%,0.38%,31.01,"8,200"
