Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
74,Gnar,"44,290",1.89:1,49.44%,5.32%,2.25%,186.39,"11,117"
75,Orianna,"43,715",2.6:1,49.07%,5.25%,1.18%,195.46,"11,076"
76,Hecarim,"43,508",2.78:1,50.21%,5.22%,4.02%,196.18,"11,977"
77,Seraphine,"43,042",2.96:1,49.96%,5.17%,1.09%,77.4,"8,786"
78,Soraka,"42,436",3:1,50.58%,5.09%,1.9%,26.26,"7,410"
79,Sivir,"42,375",2.47:1,50.21%,5.09%,0.82%,227.23,"12,262"
80,Pantheon,"42,210",2.1:1,50.04%,5.07%,1.14%,124.77,"10,599"
81,Malphite,"41,866",2.47:1,50.6%,5.03%,7.69%,170.26,"10,405"
82,Bard,"41,789",3.22:1,50.69%,5.02%,0.75%,27.94,"8,029"
83,Mordekaiser,"41,781",1.77:1,49.6%,5.02%,4.69%,179.98,"11,097"
84,Nocturne,"41,299",2.72:1,50.09%,4.96%,5.71%,181.36,"11,644"
85,Vayne,"41,145",2.03:1,50.24%,4.94%,2.86%,187.19,"11,777"
86,Aphelios,"40,948",1.99:1,48.19%,4.92%,0.64%,198.11,"11,935"
87,Skarner,"40,808",3.27:1,50.67%,4.9%,12.86%,147.38,"10,292"
88,Vel'Koz,"40,274",2.39:1,51.3%,4.83%,0.87%,103.46,"10,061"
89,Gwen,"39,189",1.8:1,50.57%,4.7%,4.28%,198.99,"11,985"
90,Miss Fortune,"38,241",2.47:1,50.87%,4.59%,0.26%,197.82,"12,349"
91,Xayah,"37,791",2.4:1,50.77%,4.54%,0.68%,212.33,"12,139"
92,Rell,"37,182",2.91:1,50.01%,4.46%,2.97%,26.95,"7,836"
93,Ornn,"36,789",2.51:1,50.38%,4.42%,0.49%,174.83,"10,337"
94,Zyra,"36,027",2.44:1,49.91%,4.32%,1.97%,108.11,"9,735"
95,Dr. Mundo,"35,923",1.98:1,50.1%,4.31%,1.65%,190.87,"11,066"
96,Garen,"35,874",1.88:1,48.62%,4.31%,1.89%,209.99,"12,110"
97,Master Yi,"35,805",2.2:1,49.83%,4.3%,6.94%,177.24,"12,209"
98,Taliyah,"35,789",2.56:1,51.41%,4.3%,1.51%,186.76,"11,692"
99,Kindred,"35,474",2.37:1,50.33%,4.26%,3.63%,173.35,"11,856"
100,Sett,"34,806",1.64:1,49.8%,4.18%,0.7%,177.77,"11,395"
101,Ryze,"33,949",2.2:1,51.05%,4.08%,0.47%,213.51,"11,727"
102,Rengar,"33,538",2.34:1,49.69%,4.03%,8.44%,185.18,"12,193"
103,Alistar,"33,497",2.55:1,49.51%,4.02%,1.35%,25.93,"7,470"
104,Fiora,"33,432",1.52:1,50.85%,4.01%,7.43%,196.27,"11,783"
105,Xin Zhao,"33,389",2.4:1,50.37%,4.01%,0.56%,163.26,"11,060"
106,Karthus,"33,081",2.35:1,51.38%,3.97%,10.26%,205.59,"12,748"
107,Sion,"31,997",1.66:1,49.24%,3.84%,0.36%,194.73,"11,607"
108,Tristana,"31,941",2.36:1,50.32%,3.83%,0.35%,192.45,"12,549"
109,Zoe,"31,547",2.65:1,50.71%,3.79%,1.87%,134.35,"10,486"
110,Nunu & Willump,"31,545",2.84:1,51.27%,3.79%,0.75%,152.3,"10,477"
111,Shen,"30,030",2.86:1,49.92%,3.6%,0.47%,136.58,"9,597"
112,Gangplank,"29,895",2.14:1,49.85%,3.59%,1.26%,205.91,"13,032"
113,Qiyana,"29,645",2.37:1,51.58%,3.56%,0.83%,178.77,"11,953"
114,Lissandra,"29,310",2.42:1,51.13%,3.52%,1.68%,186.1,"10,909"
115,Teemo,"28,401",1.89:1,49.61%,3.41%,3.8%,175.34,"11,202"
116,Zeri,"28,249",2.4:1,49.42%,3.39%,0.31%,223.7,"12,583"
117,Samira,"28,186",2.15:1,48.72%,3.38%,4.44%,189.25,"12,783"
118,Fiddlesticks,"28,152",2.5:1,50.37%,3.38%,2.13%,148.17,"10,739"
119,Vex,"27,863",2.46:1,52.07%,3.34%,5.38%,184.12,"11,278"
120,Malzahar,"27,284",2.16:1,49.52%,3.28%,2.7%,212.68,"11,660"
121,Veigar,"27,212",2.3:1,49.82%,3.27%,0.51%,193.93,"11,790"
122,Cho'Gath,"27,038",2.08:1,50.68%,3.25%,0.42%,181.71,"11,125"
123,Morgana,"27,020",2.66:1,49.28%,3.24%,9.38%,61.24,"8,864"
124,Zilean,"26,917",3.37:1,50.12%,3.23%,0.97%,59.81,"8,224"
125,Lillia,"26,021",2.83:1,48.47%,3.12%,3.01%,187.62,"11,628"
126,Twitch,"25,537",2.29:1,48.73%,3.07%,1.34%,171.27,"12,154"
127,Twisted Fate,"25,266",2.47:1,49.9%,3.03%,0.31%,180.8,"11,773"
128,Akshan,"25,089",2.4:1,51.58%,3.01%,3.29%,185.17,"12,557"
129,Neeko,"25,025",2.4:1,50.73%,3%,0.96%,88.04,"9,352"
130,Brand,"24,641",2.05:1,49.6%,2.96%,1.15%,117.36,"10,070"
131,Bel'Veth,"24,504",2.73:1,51.73%,2.94%,5.56%,176.59,"11,721"
132,Nasus,"24,497",1.81:1,49.29%,2.94%,3.36%,179.69,"10,977"
133,Kayle,"23,945",1.83:1,50.92%,2.87%,0.88%,218.63,"12,121"
134,Cassiopeia,"23,847",1.98:1,52.04%,2.86%,1.74%,193.41,"11,305"
135,Kog'Maw,"23,731",2.17:1,51.68%,2.85%,3.12%,195.84,"12,042"
136,Kassadin,"23,686",2.5:1,50.3%,2.84%,4.16%,191.47,"11,704"
137,Ziggs,"23,565",2.53:1,50.6%,2.83%,0.73%,206.49,"11,941"
138,Udyr,"23,535",2.56:1,50.04%,2.83%,3.79%,184.69,"11,271"
139,Fizz,"23,121",2.3:1,49.13%,2.78%,2.49%,178.17,"11,955"
140,Sona,"22,955",3.03:1,50.88%,2.76%,0.12%,26.87,"7,906"
141,Azir,"22,571",2.1:1,48.99%,2.71%,0.37%,207.5,"11,618"
142,Anivia,"22,415",2.68:1,51.5%,2.69%,1.9%,181.69,"10,947"
143,Sejuani,"21,746",3.09:1,47.09%,2.61%,0.27%,157.51,"10,388"
144,Amumu,"21,616",2.37:1,48.56%,2.59%,1.35%,143.39,"10,362"
145,Tryndamere,"20,703",1.67:1,51.6%,2.49%,1.55%,218.1,"12,440"
146,Kalista,"20,497",2.13:1,48.22%,2.46%,0.58%,192.74,"12,200"
147,Renata Glasc,"19,951",2.86:1,49.86%,2.39%,0.42%,29.69,"7,744"
148,Singed,"18,960",2.03:1,51.2%,2.28%,0.32%,192.1,"11,036"
149,Rumble,"18,947",2.21:1,49.43%,2.27%,0.64%,175.56,"10,908"
