Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
74,Jayce,"101,101",1.88:1,46.59%,5.43%,0.61%,193.9,"12,204"
75,Kha'Zix,"100,236",2.38:1,49.71%,5.38%,2.99%,171.5,"12,447"
76,Hwei,"99,915",2.4:1,49.57%,5.37%,3.85%,166.05,"11,291"
77,Wukong,"97,854",2.61:1,51.93%,5.25%,0.91%,168.34,"11,945"
78,Fizz,"96,484",2.29:1,50.29%,5.18%,6.81%,166.49,"12,525"
79,Maokai,"88,588",2.48:1,50.94%,4.76%,0.56%,110.33,"9,793"
80,Fiddlesticks,"88,484",2.38:1,50.67%,4.75%,1.45%,157.15,"11,602"
81,Braum,"87,731",2.89:1,50.16%,4.71%,1.74%,28.68,"8,260"
82,Galio,"85,503",2.68:1,51.32%,4.59%,1.4%,144.27,"10,526"
83,Blitzcrank,"85,067",2.41:1,48.43%,4.57%,8.7%,30.57,"8,319"
84,Samira,"83,300",2.08:1,48.23%,4.47%,7.94%,181.02,"12,980"
85,Aurora,"83,151",2.32:1,48.81%,4.46%,8.74%,176.83,"11,389"
86,Sejuani,"83,139",2.94:1,49.32%,4.46%,0.98%,159.46,"11,026"
87,Corki,"82,683",2.35:1,49.19%,4.44%,2.58%,202.27,"12,652"
88,Zac,"82,047",2.9:1,48.81%,4.41%,1.83%,149.09,"10,819"
89,Trundle,"81,538",1.75:1,51.46%,4.38%,1.36%,186.47,"12,450"
90,Vel'Koz,"81,462",2.35:1,51.47%,4.37%,1.15%,85.58,"10,389"
91,Xerath,"80,321",2.87:1,50.96%,4.31%,1.7%,111.52,"10,802"
92,Briar,"79,125",2.1:1,52.17%,4.25%,5.96%,166.18,"12,554"
93,Rakan,"77,388",2.82:1,48.88%,4.16%,0.39%,31.95,"8,127"
94,Xayah,"74,909",2.3:1,49.89%,4.02%,0.65%,200.71,"12,465"
95,Neeko,"74,832",2.2:1,48.51%,4.02%,1.52%,88.79,"10,070"
96,Twitch,"74,647",2.28:1,47.94%,4.01%,1.29%,163.4,"12,637"
97,Dr. Mundo,"74,564",2.04:1,51.95%,4%,1.87%,181.48,"11,570"
98,Illaoi,"74,549",1.54:1,50.7%,4%,12.79%,186.85,"11,904"
99,Sivir,"74,143",2.43:1,51.33%,3.98%,0.71%,222.12,"12,742"
100,Gnar,"73,821",1.92:1,49.37%,3.96%,1.07%,178.55,"11,635"
101,Vex,"71,527",2.38:1,51.77%,3.84%,5.67%,174.24,"11,767"
102,Syndra,"69,280",2.27:1,49.07%,3.72%,2.06%,189.19,"12,174"
103,Orianna,"68,564",2.56:1,49.06%,3.68%,0.62%,186.4,"11,597"
104,Lillia,"68,521",2.58:1,49.99%,3.68%,3.27%,177.42,"11,939"
105,Heimerdinger,"68,013",1.82:1,51.27%,3.65%,3.54%,174.71,"11,652"
106,Ziggs,"66,949",2.42:1,50.42%,3.59%,0.81%,181.96,"12,027"
107,Gwen,"66,581",1.7:1,48.85%,3.58%,2.02%,189.43,"12,171"
108,Gangplank,"65,843",2.08:1,48.71%,3.54%,1.18%,204.35,"13,608"
109,Ryze,"65,335",2.2:1,51.09%,3.51%,0.37%,207.79,"12,265"
110,Yuumi,"64,912",4.58:1,47.39%,3.49%,2.07%,15.07,"7,886"
111,Xin Zhao,"64,350",2.22:1,50.51%,3.46%,0.58%,161.81,"11,648"
112,Rengar,"63,592",2.01:1,45.44%,3.41%,2.97%,176.44,"12,137"
113,Jarvan IV,"63,393",3.16:1,51.16%,3.4%,0.59%,155.8,"11,609"
114,Rell,"61,437",2.8:1,49.35%,3.3%,2.19%,30.37,"8,495"
115,Aurelion Sol,"60,963",2.61:1,51.49%,3.27%,1.33%,193.87,"12,551"
116,Sona,"60,715",3.07:1,51.72%,3.26%,0.15%,29.37,"8,407"
117,Janna,"59,884",3.26:1,51.16%,3.22%,0.39%,29.08,"8,171"
118,Nunu & Willump,"59,661",2.56:1,50.63%,3.2%,0.41%,153.11,"11,065"
119,Kindred,"59,378",2.05:1,46.63%,3.19%,0.71%,171.39,"12,254"
120,Shen,"58,830",2.83:1,49.87%,3.16%,0.23%,126.52,"10,115"
121,Urgot,"58,591",1.97:1,50.94%,3.15%,1%,191.25,"12,540"
122,Rammus,"58,509",3.01:1,51.89%,3.14%,10.93%,150.47,"10,839"
123,Alistar,"57,589",2.43:1,47.98%,3.09%,0.95%,31.29,"8,139"
124,Sion,"57,469",1.87:1,50.5%,3.09%,0.21%,184.27,"12,091"
125,Aphelios,"57,217",1.95:1,48.42%,3.07%,0.73%,185.21,"12,191"
126,Tryndamere,"56,443",1.64:1,49%,3.03%,1.29%,207.93,"12,729"
127,Talon,"54,915",2.23:1,49.4%,2.95%,0.67%,184.79,"12,499"
128,Evelynn,"54,893",2.55:1,48.07%,2.95%,2.9%,151.79,"11,751"
129,Kayle,"54,622",1.85:1,51.24%,2.93%,0.45%,210.49,"12,510"
130,Ornn,"54,339",2.35:1,50.44%,2.92%,0.39%,169.14,"10,963"
131,Kassadin,"53,609",2.52:1,51.21%,2.88%,2.55%,182.83,"12,047"
132,Camille,"53,446",1.84:1,48.21%,2.87%,0.98%,164.72,"11,489"
133,Udyr,"53,280",2.34:1,49.76%,2.86%,1.82%,178.61,"11,649"
134,Zilean,"52,531",3.04:1,49.9%,2.82%,0.5%,66.54,"9,003"
135,Fiora,"52,170",1.5:1,48.34%,2.8%,4.18%,188.07,"11,999"
136,K'Sante,"51,503",1.91:1,45.94%,2.77%,2.15%,175.09,"10,942"
137,Karthus,"50,874",2.32:1,50.42%,2.73%,1.14%,206.07,"13,240"
138,Singed,"49,494",1.8:1,50.15%,2.66%,0.4%,194.47,"11,804"
139,Hecarim,"48,398",2.48:1,47.48%,2.6%,0.88%,183.2,"11,952"
140,Elise,"48,189",2.42:1,49.95%,2.59%,0.64%,146.99,"11,569"
141,Zoe,"48,148",2.42:1,47.31%,2.59%,0.92%,136.58,"10,873"
142,Lissandra,"44,625",2.29:1,50.1%,2.4%,1.17%,182.28,"11,559"
143,Kog'Maw,"43,224",2.21:1,52.01%,2.32%,1.09%,185.43,"12,518"
144,Qiyana,"43,214",2.17:1,48.67%,2.32%,0.41%,170.75,"12,216"
145,Naafiri,"41,320",2.22:1,51.46%,2.22%,1.27%,174.31,"12,397"
146,Bard,"40,616",3.06:1,49.1%,2.18%,0.28%,32.99,"8,629"
147,Taliyah,"39,783",2.24:1,48.91%,2.14%,0.37%,184.51,"12,034"
148,Zeri,"39,620",2.22:1,47.64%,2.13%,0.33%,213.31,"12,875"
149,Kalista,"38,800",2.03:1,47.06%,2.08%,0.74%,180.55,"12,550"
150,Skarner,"38,350",2.86:1,47.79%,2.06%,3.02%,146.98,"10,578"
151,Azir,"37,971",1.93:1,47.89%,2.04%,0.38%,200.41,"12,021"
152,Cassiopeia,"37,456",2.07:1,51.01%,2.01%,1.02%,186.18,"11,808"
153,Renata Glasc,"34,410",2.74:1,49.83%,1.85%,0.42%,33.55,"8,342"
154,Taric,"34,402",2.75:1,52.38%,1.85%,0.22%,42.48,"8,399"
155,Nidalee,"33,703",2.39:1,44.69%,1.81%,0.24%,147.61,"11,355"
156,Shyvana,"33,531",2.26:1,51.53%,1.8%,0.45%,200.85,"12,447"
157,Anivia,"33,170",2.65:1,51.16%,1.78%,0.62%,169.09,"11,403"
158,Nilah,"32,405",2.21:1,53.23%,1.74%,1.84%,185.88,"12,914"
159,Annie,"31,748",2.28:1,50.11%,1.7%,0.35%,139.6,"11,012"
160,Twisted Fate,"31,196",2.11:1,47.64%,1.68%,0.11%,173.75,"12,339"
161,Olaf,"30,799",1.74:1,48.14%,1.65%,0.93%,183.25,"12,131"
162,Rumble,"29,269",1.98:1,47.05%,1.57%,0.32%,174.65,"11,484"
163,Quinn,"28,666",1.97:1,48.96%,1.54%,0.83%,167.62,"12,287"
164,Kennen,"28,109",2.09:1,50.23%,1.51%,0.86%,170.91,"11,504"
165,Akshan,"26,716",2.21:1,49.08%,1.43%,0.61%,177.3,"12,871"
166,Bel'Veth,"26,604",2.12:1,48.13%,1.43%,1.01%,175.32,"11,915"
167,Ivern,"25,945",3.1:1,49.05%,1.39%,0.23%,126.96,"9,980"
168,Kled,"25,717",2.12:1,50.99%,1.38%,0.59%,166.32,"12,134"
169,Rek'Sai,"13,738",2.52:1,47.34%,0.74%,0.14%,151.59,"11,487"
