Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
74,Sett,"16,740",1.68:1,50.67%,5.58%,1.66%,176.7,"12,050"
75,Corki,"16,416",2.45:1,49.69%,5.48%,4.9%,206.29,"12,624"
76,Karma,"16,284",2.63:1,50.62%,5.43%,1.87%,53.96,"8,886"
77,Nunu & Willump,"16,266",2.57:1,50.04%,5.43%,1.81%,156.54,"11,216"
78,Syndra,"15,786",2.39:1,50.13%,5.27%,3.89%,199.29,"12,427"
79,Tristana,"15,499",2.23:1,48.17%,5.17%,1.37%,184.13,"12,787"
80,Varus,"15,284",2.25:1,48.71%,5.1%,0.8%,189.17,"12,325"
81,Renekton,"15,160",1.91:1,50.03%,5.06%,4.14%,201.6,"12,249"
82,Fizz,"15,054",2.46:1,50.63%,5.02%,9.41%,174.02,"12,611"
83,Poppy,"14,932",2.3:1,50.51%,4.98%,4.52%,82.78,"9,849"
84,Trundle,"14,559",1.6:1,51.74%,4.86%,2.29%,197.04,"12,686"
85,Jayce,"14,470",1.87:1,46.01%,4.83%,0.77%,200.38,"12,306"
86,Briar,"14,396",2.14:1,51.24%,4.8%,5.6%,174.06,"12,635"
87,Riven,"14,203",1.93:1,49.12%,4.74%,1.86%,191.42,"12,129"
88,Jarvan IV,"14,017",3.11:1,49.85%,4.68%,1.09%,162.19,"11,724"
89,Illaoi,"13,943",1.51:1,51.51%,4.65%,14.59%,195.82,"12,099"
90,LeBlanc,"13,634",2.76:1,49.94%,4.55%,12.39%,150.04,"11,469"
91,Lillia,"13,514",2.72:1,50.61%,4.51%,6.04%,189.63,"12,240"
92,Tryndamere,"13,421",1.64:1,49.27%,4.48%,3.18%,221,"13,049"
93,Aurora,"13,395",2.45:1,49.59%,4.47%,8.14%,183.56,"11,567"
94,Soraka,"13,378",2.92:1,50.71%,4.46%,1.43%,28.02,"7,801"
95,Shen,"13,263",2.88:1,51.28%,4.42%,0.64%,126.79,"10,169"
96,Vex,"13,021",2.41:1,51.28%,4.34%,6.73%,181.11,"11,791"
