Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
74,Illaoi,"229,503",1.59:1,51.97%,5.2%,18.2%,185.38,"11,929"
75,Lucian,"226,569",2.25:1,47.17%,5.14%,1.11%,188.64,"12,369"
76,Briar,"220,661",2.14:1,53.02%,5%,6.58%,168.78,"12,694"
77,Neeko,"213,050",2.23:1,49.26%,4.83%,2.29%,88.24,"10,010"
78,Hwei,"212,331",2.36:1,50%,4.81%,3.22%,164.02,"11,283"
79,Kha'Zix,"210,279",2.3:1,48.26%,4.77%,2.95%,173.28,"12,579"
80,Nami,"206,906",3.29:1,51.56%,4.69%,0.62%,26.51,"8,273"
81,Karma,"204,426",2.52:1,49.57%,4.63%,1.51%,56.8,"9,015"
82,Poppy,"202,310",2.32:1,50.06%,4.59%,2.21%,87.36,"9,919"
83,Renekton,"201,745",1.96:1,50.05%,4.57%,2.41%,190.14,"12,058"
84,Lillia,"200,678",2.66:1,51.26%,4.55%,4.64%,181.6,"12,151"
85,Gragas,"200,416",2.19:1,46.36%,4.54%,0.97%,156.19,"10,948"
86,Heimerdinger,"199,919",1.81:1,52.21%,4.53%,5.23%,172.28,"11,781"
87,Sion,"188,380",1.72:1,51.3%,4.27%,1.1%,183.88,"12,311"
88,Nunu & Willump,"187,406",2.48:1,49.43%,4.25%,0.95%,153.17,"11,243"
89,Yuumi,"186,982",4.79:1,47.22%,4.24%,2.64%,14.73,"7,848"
90,Ziggs,"186,376",2.4:1,51.18%,4.23%,1.73%,175.63,"11,881"
91,Xin Zhao,"185,459",2.22:1,50.07%,4.2%,0.76%,164.76,"11,708"
92,Sivir,"179,986",2.41:1,51.04%,4.08%,1.01%,218.79,"12,578"
93,Draven,"175,557",1.98:1,48.11%,3.98%,11.27%,179.21,"13,405"
94,Tryndamere,"175,126",1.7:1,49.04%,3.97%,2.5%,207.49,"12,852"
95,Aurora,"170,664",2.31:1,48.22%,3.87%,5.01%,173.19,"11,309"
96,Jayce,"170,556",1.87:1,45.89%,3.87%,0.7%,187.59,"12,112"
97,Shen,"170,408",2.9:1,50.45%,3.86%,0.47%,112.62,"10,027"
98,Twitch,"166,922",2.24:1,46.96%,3.78%,3.01%,156.08,"12,640"
99,Xayah,"162,334",2.31:1,49.49%,3.68%,0.69%,196.36,"12,327"
100,Syndra,"159,556",2.35:1,49.59%,3.62%,2.56%,184.79,"12,333"
101,Corki,"158,412",2.29:1,47.93%,3.59%,2.56%,196.27,"12,344"
102,Soraka,"157,515",2.93:1,50.94%,3.57%,1.25%,28.69,"7,927"
103,Braum,"154,299",2.86:1,50.12%,3.5%,1.11%,29.1,"8,305"
104,Zac,"154,134",3:1,49.09%,3.49%,1.02%,144.13,"10,748"
105,Talon,"152,360",2.17:1,47.97%,3.45%,0.83%,181.11,"12,389"
106,Vladimir,"152,316",2.06:1,49.16%,3.45%,3.05%,181.39,"11,676"
107,Gwen,"151,218",1.75:1,48.38%,3.43%,1.96%,187.89,"12,191"
108,Sejuani,"149,755",2.92:1,49.51%,3.4%,0.52%,160.98,"11,069"
109,Ornn,"146,296",2.4:1,50.9%,3.32%,0.69%,164.73,"10,860"
110,Kayle,"145,154",1.88:1,51.11%,3.29%,0.9%,208.46,"12,574"
111,K'Sante,"141,185",1.87:1,45.42%,3.2%,2.43%,170.33,"10,765"
112,Urgot,"140,422",2.01:1,51.67%,3.18%,1.45%,189.45,"12,691"
113,Fiddlesticks,"140,320",2.38:1,50%,3.18%,0.74%,153.38,"11,652"
114,Jarvan IV,"139,280",3.02:1,49.91%,3.16%,0.55%,157.03,"11,727"
