Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
74,Talon,"36,433",2.22:1,49.12%,4.64%,1.21%,182.85,"12,812"
75,Nami,"36,219",3.26:1,52.18%,4.61%,0.4%,25.12,"8,428"
76,Syndra,"35,964",2.3:1,50.78%,4.58%,2.32%,186.23,"12,335"
77,Riven,"35,682",1.84:1,48.69%,4.55%,0.96%,172.58,"11,802"
78,Vel'Koz,"35,207",2.34:1,52.38%,4.49%,0.85%,92.89,"10,834"
79,Braum,"34,441",2.91:1,50.89%,4.39%,1.66%,27.45,"8,515"
80,Soraka,"33,975",2.84:1,51.81%,4.33%,1.38%,27.51,"7,994"
81,Zyra,"33,874",2.23:1,51.58%,4.32%,2.59%,77.62,"10,281"
82,Shen,"33,329",2.82:1,50.59%,4.25%,0.52%,120.67,"10,085"
83,Neeko,"32,127",2.18:1,49.39%,4.09%,1.4%,83.11,"10,355"
84,Hwei,"31,963",2.32:1,50.42%,4.07%,3.46%,160.06,"11,392"
85,Seraphine,"31,917",2.63:1,50.2%,4.07%,0.8%,57.27,"9,517"
86,Jarvan IV,"31,829",3.2:1,51.45%,4.06%,0.82%,159.58,"12,019"
87,Wukong,"31,816",2.61:1,52.39%,4.05%,0.85%,169.37,"12,280"
88,Galio,"31,771",2.62:1,51.88%,4.05%,1.41%,142.88,"10,718"
89,Rengar,"31,619",1.93:1,43.73%,4.03%,2.25%,174.58,"12,321"
90,Nunu & Willump,"30,944",2.42:1,48.29%,3.94%,0.52%,145.04,"11,241"
91,Lissandra,"30,089",2.28:1,51.45%,3.83%,3.1%,180.44,"11,683"
92,Gnar,"29,746",1.88:1,49.53%,3.79%,1.03%,172.98,"11,708"
93,Xayah,"28,829",2.21:1,49.77%,3.67%,0.53%,191.71,"12,657"
94,Vex,"28,547",2.37:1,53.06%,3.64%,4.37%,168.08,"11,971"
95,Milio,"28,391",3.6:1,52.64%,3.62%,1.57%,27.79,"8,077"
96,Aphelios,"28,364",1.82:1,47.81%,3.61%,0.85%,179.27,"12,293"
97,Heimerdinger,"28,014",1.7:1,51.42%,3.57%,4.7%,171.33,"11,876"
98,Corki,"27,986",2.3:1,49.66%,3.57%,1.16%,197.25,"12,883"
99,Jayce,"27,199",1.84:1,45.98%,3.47%,0.44%,183.39,"12,114"
100,Yorick,"27,123",1.72:1,53.59%,3.46%,2.72%,200.26,"12,746"
101,Sion,"27,119",1.71:1,51.01%,3.46%,0.42%,186.94,"12,446"
102,Kayle,"26,379",1.82:1,53.25%,3.36%,0.79%,206.11,"12,588"
