Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
73,Cho'Gath,"270,362",2.19:1,51.82%,5.46%,1.44%,173.27,"11,880"
74,Tristana,"263,901",2.24:1,47.76%,5.33%,1.41%,185.24,"13,054"
75,Vel'Koz,"260,473",2.37:1,52.42%,5.26%,1.76%,94.62,"10,594"
76,Fizz,"258,630",2.38:1,50.66%,5.22%,8.67%,169.98,"12,752"
77,Vex,"256,718",2.4:1,51.67%,5.18%,8.01%,180.05,"11,804"
78,Samira,"256,221",2.13:1,49.08%,5.17%,10.68%,187.42,"13,286"
79,Trundle,"255,078",1.66:1,51.68%,5.15%,1.91%,194.83,"12,682"
80,Poppy,"253,970",2.35:1,50.48%,5.13%,3.53%,90.41,"9,947"
81,Renekton,"237,949",1.97:1,50.49%,4.8%,2.8%,197.54,"12,224"
82,Corki,"237,702",2.39:1,48.41%,4.8%,3.99%,204.83,"12,576"
83,Sion,"237,437",1.7:1,50.83%,4.79%,1.14%,191.31,"12,439"
84,Draven,"231,965",1.99:1,48.75%,4.68%,12.12%,189.77,"13,697"
85,Sivir,"231,377",2.49:1,51.68%,4.67%,1.02%,228.81,"12,831"
86,Jayce,"230,003",1.88:1,46.51%,4.64%,0.82%,195.86,"12,322"
87,Syndra,"225,281",2.38:1,50.25%,4.55%,3.12%,193.14,"12,522"
88,Aurora,"220,805",2.35:1,48.7%,4.46%,6.99%,181.58,"11,495"
89,Briar,"220,668",2.18:1,52.8%,4.45%,6.21%,172.26,"12,772"
90,Lillia,"214,943",2.73:1,51.3%,4.34%,4.64%,187.13,"12,263"
91,Illaoi,"213,466",1.54:1,51.58%,4.31%,13.7%,194.69,"12,131"
92,Zac,"207,346",3.07:1,49.56%,4.19%,1.49%,148.1,"10,864"
93,Yuumi,"205,447",4.72:1,47.93%,4.15%,3.02%,15.51,"7,859"
94,Shen,"204,109",2.93:1,50.71%,4.12%,0.5%,119.39,"10,099"
95,Braum,"203,883",2.94:1,50.86%,4.12%,1.58%,28.65,"8,237"
96,Vladimir,"199,976",2.15:1,49.94%,4.04%,3.13%,192.75,"11,976"
97,Jarvan IV,"196,396",3.12:1,50.85%,3.96%,0.7%,159.09,"11,790"
98,Xin Zhao,"194,946",2.29:1,50.61%,3.94%,0.71%,167.99,"11,753"
99,Soraka,"193,771",2.94:1,51.49%,3.91%,1.53%,28.28,"7,898"
100,Xayah,"191,763",2.38:1,49.93%,3.87%,0.61%,207.42,"12,599"
101,Nunu & Willump,"188,709",2.57:1,49.88%,3.81%,0.82%,156.06,"11,299"
102,Riven,"186,153",1.91:1,48.63%,3.76%,0.96%,184.58,"12,055"
103,K'Sante,"185,966",1.95:1,46.24%,3.75%,3.28%,176.85,"10,926"
104,Ziggs,"184,940",2.44:1,51.25%,3.73%,1.3%,186.97,"12,148"
105,Neeko,"182,709",2.25:1,49.68%,3.69%,1.52%,88.59,"9,993"
106,Talon,"179,882",2.25:1,48.88%,3.63%,0.78%,188.49,"12,592"
107,Orianna,"179,460",2.55:1,48.97%,3.62%,0.72%,189.58,"11,626"
108,Twitch,"178,877",2.29:1,47.7%,3.61%,2.19%,161.07,"12,806"
109,Sejuani,"177,156",3.02:1,49.81%,3.58%,0.55%,163.88,"11,163"
110,Ornn,"176,985",2.49:1,51.64%,3.57%,0.72%,171.58,"11,021"
111,Tryndamere,"171,954",1.67:1,49.25%,3.47%,2.16%,217.83,"13,099"
112,Milio,"169,962",3.73:1,52.21%,3.43%,1.21%,29.97,"8,047"
113,Ryze,"169,872",2.22:1,50.97%,3.43%,0.44%,210.72,"12,275"
114,Gwen,"168,542",1.78:1,48.96%,3.4%,2.26%,196.69,"12,434"
115,Heimerdinger,"166,612",1.81:1,51.91%,3.36%,2.85%,176.37,"11,812"
116,Gnar,"163,573",1.95:1,49.29%,3.3%,0.86%,180.98,"11,782"
117,Fiddlesticks,"161,727",2.44:1,50.82%,3.26%,0.89%,154.27,"11,671"
118,Aphelios,"161,232",1.95:1,48.49%,3.25%,0.85%,192.64,"12,465"
119,Kayle,"155,183",1.88:1,51.91%,3.13%,0.83%,218.4,"12,804"
120,Kindred,"151,759",2.11:1,47.27%,3.06%,0.84%,178.83,"12,528"
121,Alistar,"151,299",2.46:1,48.46%,3.05%,1%,33.12,"8,146"
122,Gangplank,"150,789",2.07:1,48.15%,3.04%,1.05%,206.11,"13,759"
123,Lissandra,"149,949",2.3:1,49.84%,3.03%,1.39%,182.03,"11,585"
124,Rakan,"146,802",2.81:1,48.87%,2.96%,0.43%,32.84,"8,112"
125,Kog'Maw,"143,754",2.2:1,51.34%,2.9%,3.8%,188.07,"12,543"
126,Aurelion Sol,"140,543",2.64:1,51.45%,2.84%,1.39%,198.33,"12,702"
127,Urgot,"139,016",2.01:1,51.66%,2.81%,1.02%,194.47,"12,775"
128,Rammus,"136,560",2.84:1,50.61%,2.76%,6.34%,151.45,"10,879"
129,Fiora,"134,166",1.53:1,48.59%,2.71%,2.84%,191.92,"12,162"
130,Elise,"131,652",2.46:1,49.54%,2.66%,1.49%,152.79,"11,833"
131,Nidalee,"127,710",2.5:1,45.65%,2.58%,0.78%,157.06,"11,450"
132,Udyr,"126,050",2.26:1,49.49%,2.54%,1.57%,182.73,"11,837"
133,Shyvana,"123,252",2.39:1,51.71%,2.49%,0.84%,209.43,"12,745"
134,Camille,"121,565",1.87:1,47.84%,2.45%,0.93%,157.85,"11,491"
135,Hecarim,"120,509",2.53:1,47.55%,2.43%,1.01%,190.28,"12,258"
136,Zoe,"117,237",2.41:1,48.15%,2.37%,0.86%,133.04,"10,921"
137,Rell,"116,547",2.81:1,49.23%,2.35%,1.09%,31.36,"8,519"
138,Evelynn,"115,538",2.69:1,48.56%,2.33%,1.8%,159.55,"12,120"
139,Twisted Fate,"113,966",2.17:1,48.31%,2.3%,0.17%,176.76,"12,382"
140,Singed,"112,035",1.85:1,50.94%,2.26%,0.39%,195.6,"11,884"
141,Rengar,"111,112",1.94:1,43.94%,2.24%,1.05%,180.94,"12,375"
142,Cassiopeia,"111,039",2.05:1,51.73%,2.24%,1.46%,190.79,"11,936"
143,Karthus,"110,249",2.27:1,48.94%,2.23%,1.23%,207.6,"13,258"
144,Zilean,"110,032",3.11:1,50.96%,2.22%,0.47%,66.15,"9,041"
145,Skarner,"109,991",2.86:1,47.08%,2.22%,2.92%,149.47,"10,627"
146,Sona,"107,952",2.98:1,52.24%,2.18%,0.11%,30.5,"8,464"
147,Naafiri,"107,088",2.28:1,52.08%,2.16%,1.6%,179.93,"12,674"
148,Janna,"104,968",3.21:1,51.7%,2.12%,0.28%,29.98,"8,305"
149,Anivia,"104,044",2.73:1,51.81%,2.1%,1.13%,170.36,"11,465"
150,Zeri,"99,751",2.31:1,49%,2.01%,0.32%,221.62,"13,146"
151,Nilah,"96,739",2.25:1,53.61%,1.95%,3.22%,191.55,"13,183"
152,Akshan,"93,479",2.19:1,48.54%,1.89%,1.29%,181.44,"13,001"
153,Azir,"90,648",1.93:1,47.54%,1.83%,0.36%,201.53,"12,033"
154,Bard,"90,006",2.98:1,49.24%,1.82%,0.32%,35.31,"8,768"
155,Kennen,"88,395",2.1:1,49.44%,1.78%,0.71%,172,"11,510"
156,Kalista,"84,371",2.02:1,46.68%,1.7%,0.51%,187.2,"12,732"
157,Kassadin,"82,450",2.44:1,49.36%,1.66%,0.9%,180.09,"12,056"
158,Qiyana,"80,085",2.15:1,47.31%,1.62%,0.24%,173.44,"12,323"
159,Taric,"79,700",2.75:1,52.27%,1.61%,0.41%,42.64,"8,438"
160,Rumble,"79,679",2.01:1,47.35%,1.61%,0.45%,176.18,"11,554"
161,Annie,"79,477",2.29:1,50.19%,1.6%,0.43%,145.47,"11,203"
162,Bel'Veth,"78,333",2.16:1,47.78%,1.58%,1.22%,183.39,"12,188"
163,Taliyah,"77,896",2.27:1,49.04%,1.57%,0.25%,187.28,"12,213"
164,Olaf,"72,626",1.76:1,48.39%,1.47%,0.77%,187.3,"12,342"
165,Renata Glasc,"69,211",2.64:1,49.67%,1.4%,0.37%,34.42,"8,388"
166,Quinn,"67,853",1.95:1,48.9%,1.37%,0.66%,173.29,"12,525"
167,Kled,"63,856",2.12:1,50.47%,1.29%,0.6%,170.46,"12,379"
168,Ivern,"37,947",3.14:1,48.56%,0.77%,0.21%,133.03,"10,220"
169,Rek'Sai,"35,968",2.63:1,48.28%,0.73%,0.29%,155.43,"11,616"
