Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
74,Lucian,"49,845",2.3:1,47.38%,4.86%,0.96%,191.94,"12,610"
75,Sion,"49,644",1.91:1,51.04%,4.84%,0.61%,186.57,"12,272"
76,Katarina,"49,270",2.26:1,48.29%,4.81%,3.48%,165.06,"12,393"
77,Samira,"49,010",2.04:1,47.22%,4.78%,9.8%,179.49,"12,985"
78,Gnar,"48,477",2.04:1,48.76%,4.73%,1.44%,172.97,"11,681"
79,Zyra,"48,327",2.33:1,51.92%,4.72%,5.13%,74.53,"10,012"
80,Milio,"48,309",3.77:1,51.92%,4.71%,2.46%,31.04,"8,097"
81,Draven,"48,293",2.07:1,48.98%,4.71%,12.85%,185.92,"13,562"
82,Poppy,"47,396",2.34:1,50.15%,4.62%,1.94%,95,"10,212"
83,Varus,"47,215",2.23:1,47.62%,4.61%,0.78%,182.27,"12,372"
84,Vex,"47,069",2.48:1,51.24%,4.59%,5.68%,172.42,"11,808"
85,Xayah,"46,950",2.35:1,49.25%,4.58%,0.88%,198.95,"12,544"
86,Gwen,"46,562",1.89:1,49.19%,4.54%,2.95%,196.5,"12,584"
87,Shen,"46,123",2.94:1,50.97%,4.5%,0.63%,123.08,"10,257"
88,Kha'Zix,"45,948",2.35:1,47.92%,4.48%,3.53%,179.99,"12,785"
89,Ornn,"45,463",2.49:1,51.09%,4.44%,0.9%,169.47,"11,135"
90,Lillia,"44,625",2.74:1,50.85%,4.35%,5.54%,189.44,"12,447"
91,Xerath,"44,230",2.85:1,49.95%,4.32%,1.78%,106.38,"10,915"
92,Aphelios,"43,780",1.99:1,49.22%,4.27%,1.36%,186.72,"12,418"
93,Sivir,"43,362",2.48:1,51.56%,4.23%,0.85%,226.26,"12,977"
94,Twitch,"42,635",2.27:1,47.06%,4.16%,2.55%,158.36,"12,686"
95,Soraka,"41,726",2.98:1,51.48%,4.07%,1.56%,29.5,"8,000"
96,Neeko,"41,651",2.21:1,48.7%,4.06%,1.51%,93.89,"10,334"
97,Renekton,"39,340",1.96:1,49.02%,3.84%,1.8%,192.63,"12,147"
98,Riven,"38,873",1.98:1,48.72%,3.79%,1.01%,183.75,"12,110"
99,Aurora,"38,387",2.51:1,48.51%,3.75%,5.53%,174.42,"11,495"
100,LeBlanc,"38,246",2.75:1,48.22%,3.73%,5.61%,152.87,"11,605"
101,Urgot,"38,128",2.04:1,51.59%,3.72%,1.35%,192.25,"12,732"
102,Ziggs,"37,700",2.48:1,51.09%,3.68%,0.97%,181.18,"12,154"
103,Tryndamere,"37,696",1.69:1,48.69%,3.68%,2.29%,211.34,"12,969"
104,Aurelion Sol,"37,622",2.75:1,51.74%,3.67%,2.05%,195.4,"12,823"
105,Braum,"37,587",2.88:1,50.16%,3.67%,0.99%,30.49,"8,445"
106,Fiddlesticks,"37,394",2.5:1,50.74%,3.65%,2.12%,164.18,"11,967"
107,Ryze,"37,262",2.31:1,50.97%,3.64%,0.52%,208.48,"12,470"
108,Corki,"36,211",2.45:1,48.93%,3.53%,2.25%,203.37,"12,731"
109,Heimerdinger,"35,004",1.85:1,51.75%,3.42%,3.41%,170.55,"11,799"
110,Udyr,"34,499",2.31:1,50.49%,3.37%,2.87%,184.23,"12,005"
111,Rakan,"34,434",2.79:1,47.44%,3.36%,0.42%,34.91,"8,340"
112,Kindred,"33,745",2.08:1,47.23%,3.29%,0.96%,179.75,"12,610"
113,K'Sante,"33,656",2.05:1,47.35%,3.28%,2.64%,174.59,"11,196"
114,Syndra,"33,406",2.42:1,48.58%,3.26%,1.7%,187.83,"12,346"
115,Vladimir,"33,002",2.19:1,49.02%,3.22%,2.04%,185.99,"11,744"
116,Jarvan IV,"32,958",3.19:1,50.02%,3.22%,0.88%,166.73,"12,019"
117,Xin Zhao,"32,912",2.25:1,50.23%,3.21%,0.58%,172.28,"12,098"
118,Zac,"32,438",3.05:1,48.56%,3.17%,1.19%,154.04,"11,218"
119,Nunu & Willump,"31,484",2.51:1,49.31%,3.07%,0.42%,159.09,"11,319"
120,Camille,"30,493",1.92:1,47.57%,2.98%,1.12%,162.61,"11,641"
121,Sejuani,"30,469",2.91:1,48.45%,2.97%,0.54%,167.98,"11,430"
122,Kayle,"29,939",1.97:1,51.57%,2.92%,0.64%,210.31,"12,647"
123,Talon,"29,652",2.21:1,48.06%,2.89%,0.56%,183.91,"12,597"
124,Alistar,"29,247",2.41:1,47.98%,2.85%,0.81%,35.66,"8,397"
125,Gangplank,"28,698",2.12:1,48.24%,2.8%,0.95%,207.43,"13,941"
126,Zoe,"27,854",2.5:1,47.47%,2.72%,0.88%,135.11,"11,010"
