Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
74,LeBlanc,"6,840",2.71:1,47.97%,5.33%,14.05%,157.02,"11,546"
75,Sivir,"6,827",2.62:1,51.49%,5.32%,1.18%,232.07,"12,890"
76,Nunu & Willump,"6,760",2.5:1,48.96%,5.27%,1.81%,155.7,"11,212"
77,Renekton,"6,759",2:1,50.58%,5.27%,3.21%,201.23,"12,292"
78,Poppy,"6,726",2.29:1,50.19%,5.24%,4.04%,78.2,"9,703"
79,Sion,"6,514",1.52:1,51.12%,5.08%,2.49%,198.7,"12,750"
80,Jayce,"6,447",1.85:1,45.32%,5.03%,1.13%,199.57,"12,326"
81,Xayah,"6,391",2.45:1,49.79%,4.98%,0.85%,209.89,"12,626"
82,Xin Zhao,"6,334",2.32:1,50.16%,4.94%,1.08%,170.35,"11,850"
83,K'Sante,"6,237",2.04:1,47.23%,4.86%,5.06%,180,"11,165"
84,Zyra,"6,220",2.42:1,53.89%,4.85%,3.72%,70.74,"9,711"
85,Jarvan IV,"6,169",3.24:1,50.35%,4.81%,1.08%,163.58,"11,789"
86,Riven,"6,042",1.98:1,49.69%,4.71%,1.7%,191.9,"12,204"
87,Syndra,"5,871",2.42:1,48.78%,4.58%,2.66%,199.31,"12,405"
88,Lillia,"5,817",2.85:1,51.52%,4.53%,4.48%,189.32,"12,304"
89,Illaoi,"5,679",1.6:1,51.51%,4.43%,14.41%,192.61,"12,124"
90,Draven,"5,578",2.1:1,47.53%,4.35%,10.42%,193.02,"13,634"
91,Samira,"5,471",2.15:1,47.1%,4.26%,7.8%,184.96,"12,980"
92,Aurora,"5,401",2.41:1,48.62%,4.21%,10.21%,182.08,"11,490"
93,Braum,"5,360",2.91:1,51.42%,4.18%,1.83%,28.27,"8,208"
94,Gwen,"5,347",1.81:1,49.47%,4.17%,3.29%,198.83,"12,437"
95,Tristana,"5,328",2.24:1,45.87%,4.15%,0.98%,184.35,"12,868"
96,Vex,"5,263",2.53:1,52.12%,4.1%,4.84%,176.57,"11,798"
97,Briar,"5,230",2.09:1,51.89%,4.08%,6.94%,171.31,"12,633"
98,Ornn,"5,136",2.53:1,51.81%,4%,0.99%,174.13,"11,083"
99,Rakan,"5,130",2.74:1,48.19%,4%,0.54%,31.54,"8,047"
100,Trundle,"4,998",1.65:1,51.62%,3.9%,1.61%,194.61,"12,603"
101,Shen,"4,884",2.84:1,49.71%,3.81%,0.52%,123.77,"10,169"
102,Udyr,"4,860",2.14:1,48.33%,3.79%,2.33%,183.65,"11,854"
103,Fizz,"4,831",2.42:1,49.8%,3.77%,4.86%,171.13,"12,696"
104,Vladimir,"4,803",2.31:1,51.22%,3.74%,3.34%,200.13,"12,080"
105,Aphelios,"4,767",2.07:1,49.13%,3.72%,1.18%,187.62,"12,260"
106,Orianna,"4,731",2.68:1,48.81%,3.69%,0.92%,192.79,"11,699"
107,Talon,"4,618",2.26:1,48.83%,3.6%,1%,190.45,"12,687"
108,Ziggs,"4,486",2.5:1,51.52%,3.5%,1.54%,183.94,"12,101"
109,Camille,"4,380",1.87:1,46.92%,3.41%,1.2%,166.31,"11,585"
110,Neeko,"4,372",2.34:1,50.46%,3.41%,1.53%,79.7,"9,880"
111,Aurelion Sol,"4,363",2.6:1,49.23%,3.4%,1.73%,193.8,"12,449"
112,Yuumi,"4,349",4.56:1,44.58%,3.39%,3.13%,15.58,"7,711"
113,Milio,"4,314",3.64:1,51.81%,3.36%,1%,29.3,"7,919"
114,Alistar,"4,285",2.48:1,48.75%,3.34%,1.31%,32.38,"8,188"
