Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
74,Katarina,"132,060",2.02:1,46.3%,5.08%,5.34%,144.76,"11,613"
75,Vel'Koz,"130,184",2.27:1,50.46%,5%,2.07%,86.86,"10,190"
76,Wukong,"128,725",2.43:1,50.76%,4.95%,1.34%,155.93,"11,392"
77,Graves,"127,803",2.2:1,48.09%,4.91%,4.71%,185.29,"12,537"
78,Ziggs,"126,992",2.27:1,49.67%,4.88%,2.52%,154.41,"11,061"
79,Xin Zhao,"124,258",2.08:1,48.97%,4.78%,0.87%,153.3,"11,266"
80,Hwei,"117,570",2.21:1,48.7%,4.52%,2.66%,146.29,"10,626"
81,Renekton,"115,978",1.87:1,48.5%,4.46%,2.18%,171.69,"11,350"
82,Poppy,"115,124",2.18:1,48.42%,4.42%,1.46%,77.75,"9,555"
83,Tryndamere,"114,861",1.7:1,47.83%,4.41%,2.86%,185.59,"12,083"
84,Lillia,"113,606",2.48:1,50.19%,4.37%,4.13%,167.41,"11,632"
85,LeBlanc,"112,146",2.45:1,46.81%,4.31%,12.05%,134.28,"10,721"
86,Lucian,"109,605",2.16:1,46.18%,4.21%,1.02%,168.61,"11,706"
87,Kha'Zix,"106,325",2.07:1,45.88%,4.09%,2.8%,161.06,"11,965"
88,Lulu,"104,469",2.77:1,47.11%,4.01%,1.71%,32.66,"7,989"
89,Nami,"102,676",3.07:1,49.76%,3.95%,0.53%,25.86,"8,080"
90,Twitch,"99,764",2.11:1,45.6%,3.83%,4.33%,142.21,"11,902"
91,Gwen,"99,598",1.63:1,45.85%,3.83%,1.79%,166.55,"11,335"
92,Aurora,"97,587",2.23:1,46.68%,3.75%,3.66%,155.13,"10,655"
93,Sivir,"97,059",2.19:1,48.89%,3.73%,1.04%,193.46,"11,699"
94,Xayah,"93,669",2.1:1,47.04%,3.6%,0.78%,171.88,"11,487"
95,Talon,"91,921",2.01:1,46.19%,3.53%,1.02%,162.49,"11,586"
96,Karma,"90,276",2.4:1,48.27%,3.47%,0.9%,55.62,"8,817"
97,Gragas,"89,543",1.98:1,44.4%,3.44%,0.7%,140.93,"10,344"
98,Sion,"89,436",1.72:1,51.25%,3.44%,0.93%,166.46,"11,709"
99,Urgot,"88,784",1.94:1,50.47%,3.41%,1.85%,175.93,"12,132"
100,Kindred,"87,486",1.9:1,44.8%,3.36%,0.91%,161.78,"11,807"
101,Soraka,"85,392",2.77:1,48.44%,3.28%,0.88%,28.49,"7,755"
102,Kayle,"85,217",1.79:1,49.1%,3.27%,0.99%,184.21,"11,731"
103,Sejuani,"82,790",2.63:1,48.56%,3.18%,0.44%,149.82,"10,574"
104,Draven,"82,125",1.93:1,46.98%,3.16%,9.71%,157.32,"12,506"
105,Jayce,"80,387",1.8:1,44.47%,3.09%,0.66%,169.62,"11,454"
106,Shen,"79,507",2.74:1,49.59%,3.06%,0.37%,101.11,"9,645"
107,Sona,"76,852",2.82:1,49.61%,2.95%,0.25%,31.3,"8,307"
108,Aurelion Sol,"76,844",2.44:1,50.65%,2.95%,1.6%,177.26,"12,096"
109,Rammus,"76,246",2.58:1,49.98%,2.93%,4.92%,140.12,"10,472"
110,Fiddlesticks,"75,974",2.15:1,47.94%,2.92%,0.7%,144.11,"11,135"
111,Naafiri,"75,498",2.12:1,48.92%,2.9%,2.46%,159.47,"11,874"
112,Ornn,"75,060",2.23:1,49.5%,2.88%,0.6%,149.37,"10,351"
113,Braum,"74,894",2.68:1,48.81%,2.88%,0.84%,28.84,"8,179"
114,Rakan,"74,641",2.58:1,47.64%,2.87%,0.45%,33.09,"8,019"
115,Evelynn,"71,837",2.24:1,45.07%,2.76%,1.36%,142.22,"11,263"
116,Aphelios,"71,424",1.84:1,47.65%,2.74%,0.99%,160.57,"11,447"
117,Vladimir,"67,555",1.93:1,46.97%,2.6%,2.79%,159.14,"10,890"
118,Zac,"67,116",2.78:1,48.5%,2.58%,0.7%,134.47,"10,288"
119,Syndra,"66,542",2.19:1,47.64%,2.56%,1.95%,166.18,"11,531"
120,K'Sante,"65,900",1.74:1,44.75%,2.53%,1.66%,155.51,"10,213"
121,Riven,"64,192",1.71:1,43.56%,2.47%,0.59%,156.05,"11,023"
122,Shyvana,"63,818",2.11:1,49.92%,2.45%,0.92%,188.34,"12,045"
123,Corki,"63,519",2.09:1,46.71%,2.44%,1.58%,176.27,"11,590"
124,Gnar,"62,984",1.85:1,47.28%,2.42%,0.63%,156.9,"11,033"
125,Kog'Maw,"62,489",2.01:1,49.79%,2.4%,2.67%,155.25,"11,518"
126,Rell,"61,621",2.68:1,49.29%,2.37%,0.8%,31.59,"8,392"
127,Zoe,"61,178",2.19:1,45.79%,2.35%,1.46%,114.78,"10,083"
128,Milio,"58,868",3.36:1,50.38%,2.26%,0.41%,36.06,"8,056"
129,Udyr,"58,493",1.95:1,46.57%,2.25%,0.92%,161.82,"11,108"
130,Orianna,"58,471",2.45:1,48.18%,2.25%,0.8%,165.66,"11,010"
131,Jarvan IV,"58,134",2.85:1,49.33%,2.23%,0.46%,150.53,"11,376"
132,Ryze,"56,452",2.1:1,49.57%,2.17%,0.38%,179.16,"11,425"
133,Hecarim,"55,459",2.21:1,45.86%,2.13%,1.06%,170.34,"11,427"
134,Cassiopeia,"53,201",1.96:1,48.15%,2.04%,1.33%,157.28,"11,082"
135,Fiora,"53,080",1.53:1,46.7%,2.04%,1.68%,163.22,"11,242"
136,Akshan,"52,857",2.01:1,46.66%,2.03%,1.47%,160.37,"12,039"
137,Alistar,"52,706",2.25:1,47.39%,2.03%,0.63%,35.41,"8,077"
138,Singed,"52,600",1.83:1,50.96%,2.02%,0.63%,169.57,"11,286"
139,Zeri,"50,674",2.1:1,46.8%,1.95%,0.42%,189.24,"12,083"
140,Karthus,"48,680",2.17:1,48.27%,1.87%,0.73%,183.56,"12,567"
141,Skarner,"48,288",2.45:1,45.58%,1.86%,1.4%,135.94,"9,953"
142,Lissandra,"46,796",2.12:1,47.67%,1.8%,0.82%,157,"10,913"
143,Rengar,"45,882",1.69:1,40.88%,1.76%,0.87%,160.08,"11,503"
144,Kennen,"45,247",1.96:1,46.95%,1.74%,0.67%,147.34,"10,726"
145,Olaf,"44,881",1.59:1,44.32%,1.72%,0.82%,157.59,"11,185"
146,Nilah,"43,621",1.96:1,49.48%,1.68%,2.2%,162.12,"12,056"
147,Nidalee,"43,075",2.09:1,42.29%,1.66%,0.45%,132.72,"10,616"
148,Kalista,"42,438",1.9:1,45.79%,1.63%,0.87%,160.47,"11,848"
149,Quinn,"42,406",1.9:1,46.32%,1.63%,0.67%,151.03,"11,763"
150,Anivia,"41,975",2.46:1,47.76%,1.61%,0.97%,137.02,"10,393"
151,Twisted Fate,"41,557",1.91:1,46.48%,1.6%,0.2%,152.48,"11,658"
152,Zilean,"40,913",2.69:1,47.98%,1.57%,0.3%,69.54,"8,941"
153,Annie,"40,419",2.07:1,47.19%,1.55%,0.51%,120.07,"10,357"
154,Gangplank,"38,461",1.91:1,45.79%,1.48%,0.57%,181.97,"12,720"
155,Azir,"38,075",1.65:1,44.77%,1.46%,0.57%,171.66,"11,061"
156,Bel'Veth,"37,625",1.83:1,45.78%,1.45%,0.96%,166.96,"11,409"
157,Taric,"37,188",2.55:1,51.16%,1.43%,0.38%,42.43,"8,356"
158,Camille,"36,435",1.71:1,44.45%,1.4%,0.58%,132.63,"10,543"
159,Qiyana,"35,681",1.84:1,42.87%,1.37%,0.25%,148.2,"11,212"
160,Rumble,"34,086",1.92:1,47.02%,1.31%,0.38%,157.69,"11,096"
161,Janna,"32,766",2.84:1,47.88%,1.26%,0.18%,33.35,"8,126"
162,Elise,"32,323",2.13:1,46.91%,1.24%,0.52%,139.67,"11,171"
163,Bard,"29,258",2.64:1,46.24%,1.12%,0.38%,40.47,"8,631"
164,Kassadin,"26,820",2.18:1,46.93%,1.03%,0.56%,149.1,"11,103"
165,Renata Glasc,"26,579",2.32:1,46.76%,1.02%,0.26%,35.06,"8,208"
166,Kled,"25,780",2:1,48.28%,0.99%,0.56%,145.69,"11,536"
167,Taliyah,"25,068",1.99:1,46.49%,0.96%,0.22%,165.77,"11,355"
168,Ivern,"16,302",2.51:1,44.14%,0.63%,0.22%,121.32,"9,730"
169,Rek'Sai,"14,330",2.07:1,43.66%,0.55%,0.31%,135.98,"10,639"
