Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
74,Samira,"4,248",2.21:1,46.4%,5.2%,9.09%,184.43,"13,017"
75,Maokai,"4,239",2.62:1,51.62%,5.19%,1.43%,103.72,"9,739"
76,Jax,"4,213",1.81:1,48.02%,5.15%,3.21%,180.04,"12,185"
77,Nasus,"4,137",2.12:1,51.85%,5.06%,6.2%,185.04,"12,094"
78,Malzahar,"4,064",2.49:1,53.13%,4.97%,7.85%,212.73,"12,602"
79,Aphelios,"4,012",2.07:1,48.03%,4.91%,1.52%,191.62,"12,408"
80,Briar,"3,987",2.12:1,50.76%,4.88%,5.07%,169.98,"12,553"
81,Blitzcrank,"3,943",2.43:1,50.37%,4.82%,16.6%,31.01,"8,336"
82,Soraka,"3,902",3.05:1,50.85%,4.77%,1.51%,30.64,"7,935"
83,Yorick,"3,875",1.84:1,52.62%,4.74%,6.29%,212.63,"13,022"
84,Amumu,"3,847",2.58:1,52.33%,4.71%,2.47%,159.83,"11,335"
85,Sivir,"3,814",2.85:1,51.81%,4.67%,1.07%,230.34,"12,878"
86,Tristana,"3,609",2.44:1,46.3%,4.41%,0.84%,184.96,"13,067"
87,Vex,"3,608",2.73:1,52.19%,4.41%,4.43%,176.02,"11,957"
88,Renekton,"3,474",2.07:1,50.78%,4.25%,1.87%,199.05,"12,345"
89,Syndra,"3,407",2.54:1,49.37%,4.17%,2.68%,188.98,"12,347"
90,Vel'Koz,"3,372",2.43:1,53.53%,4.12%,1.31%,79.45,"10,263"
91,Braum,"3,289",2.85:1,49.86%,4.02%,2.2%,29.33,"8,263"
92,Xin Zhao,"3,289",2.34:1,50.87%,4.02%,0.56%,169.36,"11,913"
93,Jarvan IV,"3,285",3.1:1,50.41%,4.02%,1.2%,158.89,"11,735"
94,Nunu & Willump,"3,245",2.51:1,48.41%,3.97%,0.77%,152.93,"11,362"
95,Sion,"3,216",1.68:1,50.56%,3.93%,1.67%,198.51,"12,735"
96,Skarner,"3,173",3.04:1,49.89%,3.88%,7.04%,149.05,"10,889"
97,Xayah,"3,160",2.6:1,48.8%,3.87%,0.46%,209.57,"12,646"
98,Draven,"3,141",2.16:1,48.11%,3.84%,4.96%,191.55,"13,783"
99,Sejuani,"3,098",3.09:1,49.29%,3.79%,0.95%,160.56,"11,178"
100,Trundle,"2,954",1.64:1,52.13%,3.61%,2.95%,198.54,"12,966"
101,Ornn,"2,941",2.48:1,51.58%,3.6%,0.86%,167.19,"10,957"
102,Zoe,"2,924",2.57:1,48.39%,3.58%,2.33%,131.49,"10,861"
103,Fizz,"2,883",2.42:1,50.16%,3.53%,3.53%,166,"12,540"
104,Vladimir,"2,856",2.35:1,49.16%,3.49%,1.8%,191.32,"11,843"
105,Talon,"2,855",2.3:1,47.92%,3.49%,1.07%,190.44,"12,754"
106,Twitch,"2,747",2.45:1,48.38%,3.36%,1.62%,172.66,"12,859"
107,Twisted Fate,"2,737",2.39:1,49.43%,3.35%,0.44%,181.62,"12,687"
108,Lillia,"2,706",2.8:1,50.52%,3.31%,2.49%,183.65,"12,361"
109,Aurelion Sol,"2,667",2.84:1,51.03%,3.26%,2.28%,196.75,"12,710"
110,Shen,"2,588",2.92:1,50.43%,3.17%,0.68%,129.29,"10,324"
111,Illaoi,"2,571",1.65:1,52.24%,3.15%,8.13%,184.24,"11,914"
112,Alistar,"2,562",2.38:1,45.78%,3.13%,1.22%,31.86,"8,154"
113,Yuumi,"2,468",4.69:1,45.14%,3.02%,2.84%,15.75,"7,966"
114,Kog'Maw,"2,451",2.45:1,51.2%,3%,1.4%,187.68,"12,638"
115,Gwen,"2,450",1.78:1,46.98%,3%,1.58%,190.14,"12,096"
116,Rell,"2,441",2.71:1,49.41%,2.99%,1.34%,32.5,"8,524"
117,Azir,"2,418",2.09:1,47.06%,2.96%,0.55%,200.82,"12,077"
118,Zac,"2,405",3.1:1,46.44%,2.94%,1.18%,149.13,"11,034"
119,Ziggs,"2,400",2.84:1,52.75%,2.94%,1.39%,188.87,"12,304"
120,Rakan,"2,383",2.76:1,47.96%,2.92%,0.37%,32.97,"8,125"
121,Janna,"2,383",3.24:1,49.85%,2.92%,0.46%,30.17,"8,131"
122,Camille,"2,364",1.88:1,48.73%,2.89%,2.36%,167.68,"11,773"
123,Sona,"2,363",2.95:1,50.7%,2.89%,0.15%,30.2,"8,325"
124,Ryze,"2,357",2.52:1,51.21%,2.88%,0.47%,207.47,"12,352"
125,Renata Glasc,"2,323",2.72:1,48.77%,2.84%,0.98%,34.53,"8,394"
126,Orianna,"2,319",2.86:1,47.82%,2.84%,0.85%,182.83,"11,589"
127,Kindred,"2,313",2.17:1,47.17%,2.83%,1.34%,177.7,"12,422"
128,Udyr,"2,313",2.21:1,48.72%,2.83%,1.16%,178.35,"11,778"
129,Neeko,"2,293",2.21:1,48.54%,2.8%,1.11%,73.16,"9,786"
130,Elise,"2,282",2.51:1,50.18%,2.79%,1.24%,157.3,"12,049"
131,Fiora,"2,262",1.6:1,47.17%,2.77%,2.29%,195.37,"12,294"
132,Rammus,"2,233",2.93:1,51.28%,2.73%,6.06%,142.55,"10,754"
133,Lissandra,"2,186",2.52:1,50.87%,2.67%,2.41%,179.22,"11,464"
134,Gnar,"2,144",2.02:1,47.2%,2.62%,0.98%,185.68,"12,002"
135,Fiddlesticks,"2,142",2.5:1,52.89%,2.62%,1.14%,155.93,"11,785"
136,Kayle,"2,132",2.17:1,52.06%,2.61%,0.7%,215.62,"12,699"
137,Rengar,"2,121",1.93:1,43.28%,2.59%,1.32%,178.55,"12,227"
138,Gangplank,"2,084",2.19:1,47.74%,2.55%,1.5%,204.07,"13,840"
139,Naafiri,"1,856",2.29:1,50.38%,2.27%,1.44%,176.31,"12,451"
140,Nilah,"1,732",2.5:1,55.54%,2.12%,2.78%,195.29,"13,363"
141,Zeri,"1,727",2.56:1,49.04%,2.11%,0.32%,218.12,"13,062"
142,Nidalee,"1,681",2.69:1,48.42%,2.06%,0.78%,161.35,"11,746"
143,Zilean,"1,678",3.34:1,49.05%,2.05%,0.89%,57.43,"8,865"
144,Heimerdinger,"1,648",2.03:1,53.94%,2.02%,1.35%,168.6,"11,796"
145,Shyvana,"1,638",2.51:1,51.1%,2%,0.42%,207.11,"12,842"
146,Bel'Veth,"1,615",2.05:1,44.27%,1.98%,0.98%,181.08,"12,079"
147,Hecarim,"1,602",2.49:1,47.57%,1.96%,0.51%,184.17,"12,152"
148,Kassadin,"1,598",2.57:1,49.37%,1.95%,1.62%,181.55,"12,156"
149,Karthus,"1,594",2.39:1,50%,1.95%,0.96%,203.98,"13,447"
150,Evelynn,"1,573",2.4:1,45.26%,1.92%,1.6%,151.16,"11,785"
151,Singed,"1,553",1.99:1,52.41%,1.9%,0.57%,194.04,"11,859"
152,Kennen,"1,548",2.26:1,50.9%,1.89%,1.75%,171.57,"11,443"
153,Qiyana,"1,466",2.21:1,46.11%,1.79%,0.5%,174.08,"12,289"
154,Kalista,"1,454",2.18:1,46.08%,1.78%,0.83%,187.04,"12,811"
155,Tryndamere,"1,429",1.7:1,48.08%,1.75%,0.88%,216.01,"13,131"
156,Urgot,"1,377",2.05:1,51.05%,1.68%,0.53%,188.02,"12,604"
157,Akshan,"1,359",2.29:1,46.87%,1.66%,0.84%,176.21,"12,831"
158,Taliyah,"1,319",2.42:1,50.8%,1.61%,0.26%,186.04,"12,133"
159,Bard,"1,289",3.1:1,47.87%,1.58%,0.54%,34.91,"8,562"
160,Anivia,"1,263",2.96:1,48.61%,1.55%,0.63%,164.69,"11,226"
161,Annie,"1,255",2.62:1,51.31%,1.54%,0.45%,147.9,"11,271"
162,Rumble,"1,208",2.05:1,46.19%,1.48%,0.37%,179.99,"11,657"
163,Cassiopeia,"1,031",2.28:1,48.98%,1.26%,0.45%,183.65,"11,795"
164,Taric,967,2.71:1,50.88%,1.19%,0.29%,43.3,"8,505"
165,Olaf,952,1.71:1,46.11%,1.16%,0.61%,187.41,"12,300"
166,Kled,867,2.32:1,49.94%,1.06%,0.31%,167.01,"12,199"
167,Quinn,825,2.02:1,49.94%,1.01%,0.42%,169.91,"12,628"
168,Rek'Sai,765,2.53:1,47.06%,0.94%,0.17%,156.03,"11,772"
169,Ivern,677,3.27:1,45.05%,0.83%,0.35%,139.67,"10,464"
