Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
70,Lucian,"1,340,272",2.3:1,48.35%,5.81%,1.08%,196.72,"12,435"
71,Kha'Zix,"1,325,077",2.44:1,49.59%,5.74%,4.05%,176.61,"12,550"
72,Corki,"1,308,312",2.43:1,49.20%,5.67%,5.62%,204.99,"12,422"
73,Yorick,"1,276,766",1.81:1,52.95%,5.53%,8.75%,208.14,"12,640"
74,Tristana,"1,247,711",2.2:1,47.71%,5.41%,1.51%,179.31,"12,748"
75,Poppy,"1,234,885",2.32:1,50.51%,5.35%,4.85%,87.84,"9,753"
76,Cho'Gath,"1,212,503",2.15:1,51.32%,5.25%,1.37%,169.96,"11,651"
77,Vel'Koz,"1,196,242",2.35:1,52.02%,5.18%,1.66%,94.68,"10,443"
78,Renekton,"1,185,027",1.93:1,50.02%,5.13%,3.40%,194.8,"11,966"
79,Vex,"1,169,232",2.36:1,51.16%,5.07%,7.93%,176.06,"11,559"
80,Jayce,"1,164,014",1.85:1,46.81%,5.04%,1.05%,195.28,"12,117"
81,Aurora,"1,154,966",2.39:1,48.93%,5%,8.54%,180.53,"11,334"
82,Draven,"1,122,101",2.01:1,49.22%,4.86%,13.95%,189.33,"13,546"
83,Samira,"1,111,401",2.1:1,48.74%,4.82%,9.78%,183.01,"13,049"
84,Fizz,"1,096,540",2.35:1,50.26%,4.75%,7.68%,167.1,"12,514"
85,Sivir,"1,085,150",2.46:1,51.29%,4.70%,1.02%,225.3,"12,623"
86,Syndra,"1,084,193",2.34:1,49.96%,4.70%,3.32%,193.68,"12,313"
87,Trundle,"1,078,738",1.65:1,51.36%,4.67%,1.72%,189.64,"12,463"
88,Yuumi,"1,077,146",4.68:1,47.35%,4.67%,3.73%,14.84,"7,714"
89,Sion,"1,038,763",1.69:1,50.61%,4.50%,0.96%,190.05,"12,248"
90,Braum,"1,023,073",2.91:1,50.65%,4.43%,2.26%,27.8,"8,056"
91,Briar,"1,001,709",2.13:1,52.14%,4.34%,5.67%,168.89,"12,551"
92,K'Sante,"998,079",1.99:1,46.99%,4.32%,4.05%,176.53,"10,783"
93,Zac,"972,864",3.03:1,49.48%,4.22%,1.81%,147.31,"10,710"
94,Illaoi,"969,834",1.54:1,51.09%,4.20%,13.52%,188.78,"11,881"
95,Vladimir,"968,475",2.17:1,50%,4.20%,3.46%,192.31,"11,799"
96,Jarvan IV,"957,066",3.14:1,50.51%,4.15%,0.86%,157.82,"11,605"
97,Xin Zhao,"949,697",2.27:1,50.34%,4.11%,0.72%,164.81,"11,555"
98,Riven,"940,649",1.9:1,49.12%,4.08%,1.32%,185.08,"11,917"
99,Soraka,"940,004",2.93:1,51.07%,4.07%,1.52%,27.79,"7,782"
100,Lillia,"939,706",2.69:1,50.59%,4.07%,4.38%,184.19,"12,066"
101,Neeko,"938,397",2.24:1,49.32%,4.07%,1.74%,86.69,"9,812"
102,Nunu & Willump,"932,655",2.54:1,49.53%,4.04%,0.85%,152.81,"11,053"
103,Talon,"928,318",2.28:1,49.37%,4.02%,0.98%,186.89,"12,413"
104,Xayah,"916,178",2.34:1,49.73%,3.97%,0.65%,204.28,"12,376"
105,Milio,"907,726",3.71:1,51.40%,3.93%,1.68%,29.12,"7,902"
106,Shen,"881,244",2.89:1,50.55%,3.82%,0.49%,121.28,"9,982"
107,Orianna,"861,781",2.56:1,48.95%,3.73%,0.79%,189.6,"11,463"
108,Ziggs,"851,051",2.42:1,50.80%,3.69%,1.38%,184.16,"11,928"
109,Gwen,"844,128",1.76:1,48.99%,3.66%,2.55%,193.21,"12,195"
110,Ornn,"831,114",2.47:1,51.23%,3.60%,0.68%,170.38,"10,826"
111,Twitch,"824,398",2.26:1,47.51%,3.57%,2.33%,159.89,"12,571"
112,Aphelios,"820,757",1.95:1,48.59%,3.56%,0.87%,191.22,"12,260"
113,Gnar,"819,924",1.92:1,49.23%,3.55%,1.08%,180.61,"11,561"
114,Tryndamere,"787,566",1.66:1,49.16%,3.41%,2.10%,211.99,"12,816"
115,Heimerdinger,"784,951",1.79:1,51.60%,3.40%,3.44%,170.86,"11,599"
116,Rakan,"781,603",2.84:1,48.91%,3.39%,0.47%,31.78,"7,968"
117,Sejuani,"779,657",2.98:1,49.28%,3.38%,0.50%,161.23,"10,969"
118,Ryze,"776,545",2.2:1,50.97%,3.36%,0.44%,209.16,"12,110"
119,Fiddlesticks,"754,583",2.42:1,50.46%,3.27%,1.15%,152.48,"11,450"
120,Kindred,"748,647",2.14:1,47.64%,3.24%,1.19%,175.47,"12,295"
121,Elise,"726,341",2.52:1,49.97%,3.15%,2.50%,150.18,"11,647"
122,Kayle,"716,568",1.86:1,51.24%,3.10%,0.87%,213.25,"12,525"
123,Alistar,"704,724",2.45:1,48.47%,3.05%,1.01%,31.61,"7,990"
124,Gangplank,"697,503",2.07:1,48.45%,3.02%,1.08%,205.07,"13,556"
125,Lissandra,"685,740",2.31:1,49.97%,2.97%,1.40%,181.93,"11,420"
126,Nidalee,"682,085",2.62:1,46.82%,2.96%,1.24%,157.87,"11,346"
127,Camille,"664,263",1.89:1,48.84%,2.88%,1.22%,158.31,"11,368"
128,Hecarim,"659,869",2.58:1,48.43%,2.86%,1.43%,190.53,"12,135"
129,Janna,"657,225",3.26:1,51.46%,2.85%,0.58%,28.5,"8,129"
130,Fiora,"653,715",1.52:1,48.79%,2.83%,3.31%,190.43,"11,998"
131,Kog'Maw,"648,801",2.17:1,51.34%,2.81%,3.60%,186.17,"12,342"
132,Urgot,"642,112",2:01,51.28%,2.78%,0.99%,190.97,"12,542"
133,Aurelion Sol,"635,243",2.61:1,51%,2.75%,1.33%,194.79,"12,453"
134,Rell,"612,331",2.82:1,49.37%,2.65%,1.31%,30.18,"8,323"
135,Zoe,"607,159",2.43:1,48.57%,2.63%,1.06%,130.39,"10,725"
136,Udyr,"605,512",2.26:1,49.27%,2.62%,1.90%,180.74,"11,645"
137,Skarner,"596,839",2.94:1,47.96%,2.59%,4.32%,147.68,"10,479"
138,Rengar,"588,934",2.02:1,45.49%,2.55%,1.99%,181.1,"12,283"
139,Rammus,"582,049",2.81:1,50.46%,2.52%,5.49%,148.75,"10,717"
140,Karthus,"567,383",2.28:1,49.40%,2.46%,2.39%,205.2,"13,088"
141,Evelynn,"555,847",2.65:1,48.32%,2.41%,2.15%,157.26,"11,881"
142,Sona,"549,334",2.96:1,51.27%,2.38%,0.13%,29.83,"8,329"
143,Zilean,"545,377",3.12:1,50.54%,2.36%,0.55%,63.46,"8,824"
144,Bard,"543,682",3.04:1,49.75%,2.36%,0.39%,32.82,"8,528"
145,Twisted Fate,"541,406",2.2:1,48.53%,2.35%,0.19%,176.46,"12,225"
146,Cassiopeia,"538,964",2.03:1,51.40%,2.34%,1.53%,187.84,"11,711"
147,Shyvana,"521,306",2.34:1,50.97%,2.26%,0.74%,205.99,"12,559"
148,Singed,"518,637",1.87:1,50.99%,2.25%,0.42%,192.42,"11,671"
149,Zeri,"514,518",2.31:1,48.83%,2.23%,0.34%,218.6,"12,906"
150,Anivia,"499,344",2.68:1,51.26%,2.16%,1.34%,170.1,"11,255"
151,Naafiri,"490,692",2.24:1,51.31%,2.13%,1.54%,176.56,"12,385"
152,Akshan,"477,042",2.2:1,48.95%,2.07%,1.61%,179.77,"12,776"
153,Azir,"459,862",1.94:1,47.64%,1.99%,0.39%,200.81,"11,868"
154,Taliyah,"441,753",2.35:1,49.82%,1.91%,0.41%,186.33,"12,014"
155,Qiyana,"431,308",2.18:1,48.13%,1.87%,0.34%,172.64,"12,142"
156,Nilah,"430,369",2.2:1,52.88%,1.86%,3.11%,188.75,"12,931"
157,Kennen,"425,563",2.08:1,49.61%,1.84%,0.80%,169.67,"11,306"
158,Kassadin,"418,300",2.44:1,49.65%,1.81%,1.35%,181.79,"11,940"
159,Kalista,"417,786",2.02:1,47.03%,1.81%,0.57%,185.16,"12,512"
160,Bel'Veth,"406,084",2.24:1,48.57%,1.76%,1.75%,180.15,"11,991"
161,Rumble,"380,423",2.03:1,47.67%,1.65%,0.46%,174.13,"11,364"
162,Taric,"373,896",2.74:1,52.22%,1.62%,0.40%,41.53,"8,299"
163,Renata Glasc,"364,869",2.67:1,49.34%,1.58%,0.37%,33.25,"8,221"
164,Olaf,"360,204",1.74:1,48.38%,1.56%,0.83%,184.06,"12,090"
165,Annie,"354,474",2.27:1,49.85%,1.54%,0.39%,142.33,"10,970"
166,Kled,"309,500",2.09:1,50.47%,1.34%,0.60%,169.41,"12,144"
167,Quinn,"307,433",1.95:1,48.73%,1.33%,0.60%,170.06,"12,316"
168,Ivern,"207,931",3.27:1,48.95%,0.90%,0.29%,131.59,"10,015"
169,Rek'Sai,"207,907",2.72:1,49.12%,0.90%,0.38%,154.58,"11,465"
