Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
74,Sivir,"20,667",2.56:1,50.41%,5.51%,1.4%,221.82,"12,281"
75,Cho'Gath,"20,660",2.25:1,52.1%,5.5%,0.81%,169.29,"11,388"
76,Veigar,"20,460",2.4:1,50.93%,5.45%,1.81%,171.98,"11,780"
77,Renekton,"19,876",1.99:1,50.29%,5.3%,2.79%,191.17,"11,687"
78,Talon,"19,720",2.41:1,51.19%,5.25%,2.92%,192.72,"12,492"
79,Katarina,"19,368",2.4:1,49.22%,5.16%,4.25%,168.94,"12,002"
80,Senna,"19,248",2.86:1,49.38%,5.13%,1.35%,46.3,"9,322"
81,Xayah,"18,993",2.48:1,50.53%,5.06%,1.17%,206.2,"12,171"
82,Elise,"17,792",2.64:1,51.27%,4.74%,9.63%,143.33,"11,422"
83,Draven,"17,748",2.13:1,50.05%,4.73%,11.49%,189.45,"13,447"
84,Tryndamere,"17,655",1.65:1,49.02%,4.7%,2.62%,208.3,"12,431"
85,Dr. Mundo,"17,589",2.06:1,51.45%,4.69%,2.02%,179.84,"11,214"
86,Vex,"17,196",2.54:1,52.19%,4.58%,5.96%,179.14,"11,418"
87,Syndra,"16,931",2.36:1,47.72%,4.51%,1.97%,188.25,"11,708"
88,Poppy,"16,902",2.32:1,48.92%,4.5%,4.47%,84.83,"9,442"
89,Aurora,"16,863",2.57:1,50.36%,4.49%,9.25%,179.99,"11,190"
90,Seraphine,"16,824",2.87:1,49.92%,4.48%,0.9%,52.66,"8,726"
91,Tristana,"16,576",2.31:1,47.43%,4.42%,0.93%,180.41,"12,424"
92,Camille,"15,959",1.94:1,48.57%,4.25%,1.15%,126.83,"10,675"
93,Riven,"15,736",1.86:1,48.73%,4.19%,0.92%,182.81,"11,575"
94,Fizz,"15,413",2.47:1,50.34%,4.11%,4.6%,168.47,"12,172"
95,Vladimir,"15,343",2.34:1,50.56%,4.09%,1.72%,192.26,"11,466"
96,Braum,"15,247",2.98:1,50.51%,4.06%,2.1%,28.21,"7,841"
97,Sett,"15,225",1.72:1,50.23%,4.06%,0.98%,170,"11,606"
98,Yorick,"14,733",1.94:1,52.87%,3.93%,3.85%,204.94,"12,296"
99,Orianna,"14,641",2.69:1,48.69%,3.9%,0.92%,187.71,"11,265"
100,Trundle,"14,596",1.71:1,50.64%,3.89%,1.11%,185.05,"12,102"
101,Shen,"14,508",2.92:1,49.73%,3.87%,0.58%,126.79,"9,801"
102,Zac,"14,433",3.04:1,49.1%,3.85%,1.74%,142.77,"10,482"
103,Alistar,"14,409",2.52:1,48.55%,3.84%,1.39%,41.48,"8,044"
104,Nidalee,"14,041",2.8:1,49%,3.74%,3.16%,161.79,"11,432"
105,Aurelion Sol,"13,542",2.71:1,50.93%,3.61%,2.35%,191.91,"12,075"
106,Soraka,"13,432",3:1,50.04%,3.58%,0.85%,28.52,"7,598"
107,Vel'Koz,"13,305",2.4:1,51.79%,3.54%,0.79%,83.66,"9,932"
108,Samira,"13,294",2.22:1,49.83%,3.54%,7.18%,184.19,"12,837"
109,Milio,"13,227",3.64:1,50.51%,3.52%,0.7%,31.9,"7,674"
110,Lissandra,"13,094",2.53:1,51.28%,3.49%,1.65%,181.78,"11,148"
111,Illaoi,"13,061",1.52:1,51.21%,3.48%,6.59%,190.16,"11,649"
112,Fiddlesticks,"12,971",2.5:1,50.54%,3.46%,1.46%,143.09,"10,954"
113,Kindred,"12,958",2.22:1,49.24%,3.45%,1.71%,170.77,"12,044"
114,Sejuani,"12,664",3.01:1,48.86%,3.37%,0.63%,151.62,"10,564"
115,Karthus,"12,577",2.39:1,48.95%,3.35%,4.08%,206.59,"12,912"
116,Ziggs,"12,485",2.52:1,50.97%,3.33%,1.38%,183.12,"11,674"
117,Gnar,"12,336",1.95:1,48.69%,3.29%,0.92%,179.17,"11,277"
118,Ryze,"12,302",2.29:1,51.52%,3.28%,0.4%,209.82,"11,977"
119,Aphelios,"12,079",2.03:1,48.28%,3.22%,0.47%,191.02,"11,932"
120,Fiora,"12,052",1.55:1,49.94%,3.21%,2.49%,190.84,"11,791"
121,Ornn,"11,826",2.5:1,50.84%,3.15%,1.14%,163.54,"10,405"
122,Kog'Maw,"11,476",2.23:1,50.88%,3.06%,4.75%,185.27,"11,968"
123,Briar,"11,308",2.12:1,51.49%,3.01%,2.49%,164.48,"12,280"
124,Anivia,"11,182",2.92:1,49.79%,2.98%,3.01%,171.56,"10,968"
125,Rumble,"10,640",2.05:1,47.51%,2.83%,0.98%,176.5,"11,223"
126,Heimerdinger,"10,623",1.85:1,50.51%,2.83%,1.91%,167.12,"11,337"
127,Twitch,"10,588",2.32:1,46.88%,2.82%,1.49%,159.6,"12,116"
128,Gwen,"10,347",1.88:1,50.93%,2.76%,1.45%,193.95,"11,999"
129,Twisted Fate,"10,149",2.25:1,47.56%,2.7%,0.32%,178.59,"12,152"
130,Rakan,"9,904",2.85:1,49.64%,2.64%,0.34%,31.19,"7,728"
131,Singed,"9,811",2.06:1,52.1%,2.61%,0.69%,188.68,"11,289"
132,Skarner,"9,740",3.03:1,49.36%,2.59%,4.21%,141.08,"10,189"
133,Hecarim,"9,626",2.65:1,48.96%,2.56%,0.83%,186.72,"11,860"
134,Neeko,"9,516",2.37:1,50.03%,2.54%,0.69%,84.76,"9,584"
135,Nunu & Willump,"9,303",2.58:1,48.26%,2.48%,0.29%,145.8,"10,556"
136,Lillia,"9,296",2.84:1,51.06%,2.48%,2.24%,182.99,"11,843"
137,Rell,"9,272",2.84:1,49.89%,2.47%,1.53%,29.62,"8,044"
138,Janna,"9,163",3.2:1,51.51%,2.44%,0.31%,29.5,"7,923"
139,Zeri,"9,119",2.46:1,50.2%,2.43%,0.65%,219.95,"12,685"
140,Azir,"8,829",2:1,46.68%,2.35%,0.36%,200.3,"11,618"
141,Shyvana,"8,717",2.37:1,49.83%,2.32%,0.56%,202.26,"12,264"
142,Kayle,"8,717",1.91:1,51.05%,2.32%,0.49%,209.36,"12,098"
143,Naafiri,"7,857",2.33:1,52.49%,2.09%,1.57%,175.37,"12,122"
144,Urgot,"7,540",2.05:1,49.76%,2.01%,0.44%,188.76,"12,185"
145,Zilean,"7,532",3.15:1,50.36%,2.01%,0.48%,63.17,"8,621"
146,Kalista,"7,520",2.12:1,46.73%,2%,0.95%,185.17,"12,272"
147,Zoe,"7,481",2.57:1,51.25%,1.99%,0.94%,134.69,"10,581"
148,Rammus,"7,457",2.83:1,49.51%,1.99%,2.54%,135.6,"10,205"
149,Taliyah,"7,317",2.52:1,50.64%,1.95%,0.79%,181.03,"11,706"
150,Sona,"7,303",2.9:1,49.82%,1.95%,0.1%,32.13,"8,121"
151,Renata Glasc,"7,259",2.72:1,49.66%,1.93%,1.04%,34.05,"8,022"
152,Udyr,"7,027",2.16:1,48.26%,1.87%,0.48%,171.51,"11,239"
153,Annie,"6,634",2.37:1,49.76%,1.77%,0.31%,132.37,"10,459"
154,Evelynn,"6,358",2.74:1,48.54%,1.69%,0.98%,152.15,"11,481"
155,Bel'Veth,"6,299",2.42:1,49.37%,1.68%,1.11%,173.6,"11,714"
156,Kennen,"6,277",2.12:1,49.82%,1.67%,0.66%,169.75,"11,089"
157,Bard,"6,209",3.09:1,49.52%,1.65%,0.48%,34.47,"8,237"
158,Cassiopeia,"6,169",2.07:1,51.45%,1.64%,0.96%,186.19,"11,406"
159,Akshan,"5,904",2.34:1,49.1%,1.57%,1.43%,178.33,"12,548"
160,Nilah,"5,707",2.38:1,53.2%,1.52%,3.17%,188.09,"12,604"
161,Taric,"5,629",2.76:1,51.55%,1.5%,0.36%,38.43,"7,926"
162,Rengar,"5,504",2.04:1,44.55%,1.47%,0.54%,173.5,"11,842"
163,Kassadin,"5,157",2.65:1,49.35%,1.37%,0.59%,181.33,"11,552"
164,Quinn,"4,909",2:1,48.44%,1.31%,0.58%,163.7,"11,762"
165,Olaf,"4,750",1.82:1,50.15%,1.27%,0.95%,182.85,"11,867"
166,Rek'Sai,"4,748",2.74:1,48.27%,1.26%,0.56%,150.88,"11,141"
167,Kled,"4,549",2.32:1,52.3%,1.21%,0.52%,165.95,"11,829"
168,Qiyana,"4,507",2.29:1,50.23%,1.2%,0.36%,171.58,"12,007"
169,Ivern,"3,273",3.33:1,47.54%,0.87%,0.7%,123.88,"9,578"
