Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
74,Blitzcrank,"14,257",2.41:1,49.04%,5.09%,12.57%,31.76,"8,540"
75,Aurora,"14,018",2.4:1,48.37%,5.01%,6.69%,166.53,"11,377"
76,Vel'Koz,"13,825",2.4:1,51.24%,4.94%,1.54%,98.83,"10,801"
77,Shen,"13,740",2.88:1,50.66%,4.91%,0.81%,123.98,"10,218"
78,Kha'Zix,"13,592",2.3:1,49.28%,4.85%,3.7%,172.11,"12,710"
79,Xayah,"13,268",2.3:1,48.13%,4.74%,0.97%,194.79,"12,576"
80,Fizz,"13,258",2.39:1,50.57%,4.73%,10.56%,158.28,"12,768"
81,Galio,"12,802",2.68:1,52.45%,4.57%,2.34%,144.9,"10,772"
82,Graves,"12,633",2.31:1,48.37%,4.51%,3.12%,199.55,"13,475"
83,Lee Sin,"12,632",2.4:1,45.77%,4.51%,1.8%,157.77,"11,974"
84,Illaoi,"12,602",1.56:1,50.75%,4.5%,15.56%,178.73,"11,911"
85,Draven,"12,544",2.05:1,50.41%,4.48%,17.79%,186.43,"13,856"
86,Maokai,"12,539",2.46:1,51.18%,4.48%,0.78%,102.18,"9,886"
87,Wukong,"12,506",2.55:1,52.34%,4.47%,1.29%,169.32,"12,244"
88,Kayle,"12,466",1.89:1,49.57%,4.45%,1.61%,205.25,"12,573"
89,Gragas,"12,434",2.27:1,48.13%,4.44%,1.9%,163.88,"11,447"
90,Poppy,"12,386",2.21:1,48.85%,4.42%,1.72%,107.24,"10,490"
91,Ornn,"12,383",2.38:1,50.75%,4.42%,0.98%,165.75,"11,064"
92,Syndra,"12,351",2.35:1,48.89%,4.41%,2.95%,185.53,"12,374"
93,Vladimir,"12,302",2.16:1,49.66%,4.39%,4.04%,187.59,"11,995"
94,Nunu & Willump,"12,085",2.45:1,49.42%,4.32%,0.74%,149.44,"11,321"
95,Sivir,"12,028",2.42:1,50.82%,4.3%,0.79%,221.02,"12,864"
96,Urgot,"12,006",2.03:1,51.47%,4.29%,1.78%,185.02,"12,753"
97,Xin Zhao,"11,965",2.2:1,50.14%,4.27%,0.98%,167.26,"12,048"
98,Trundle,"11,940",1.69:1,51.47%,4.26%,1.6%,183.07,"12,644"
99,Neeko,"11,867",2.2:1,48.33%,4.24%,1.05%,98.43,"10,354"
100,Renekton,"11,790",1.91:1,49.85%,4.21%,2.62%,189.32,"12,273"
101,Sion,"11,720",1.79:1,50.78%,4.18%,0.67%,185.24,"12,469"
102,Lillia,"11,438",2.48:1,49.69%,4.08%,3.56%,177.77,"12,202"
103,Lucian,"11,149",2.3:1,47.85%,3.98%,0.92%,189.85,"12,700"
104,Aurelion Sol,"11,137",2.71:1,51.23%,3.98%,1.69%,190.53,"12,747"
105,Gwen,"11,135",1.73:1,49.17%,3.98%,3.12%,185.85,"12,389"
106,Talon,"10,978",2.25:1,49.11%,3.92%,0.84%,184.33,"12,891"
107,Fiddlesticks,"10,970",2.39:1,49.55%,3.92%,0.94%,157.16,"11,870"
108,Sona,"10,696",2.99:1,51.24%,3.82%,0.18%,29.62,"8,497"
109,Evelynn,"10,554",2.4:1,45.85%,3.77%,2.04%,149.63,"11,851"
110,Heimerdinger,"10,387",1.85:1,50.98%,3.71%,3.68%,170.49,"11,832"
111,Zoe,"10,203",2.47:1,47.75%,3.64%,1.99%,129.02,"11,002"
112,Janna,"10,156",3.23:1,51.18%,3.63%,0.69%,29.8,"8,370"
113,K'Sante,"9,849",1.97:1,46.79%,3.52%,3.58%,173.79,"11,289"
114,Kindred,"9,423",1.97:1,46.04%,3.37%,1.11%,167.95,"12,495"
115,LeBlanc,"9,259",2.69:1,48.46%,3.31%,4.93%,143.79,"11,533"
116,Ziggs,"9,102",2.45:1,49.98%,3.25%,0.8%,176.05,"12,029"
117,Naafiri,"9,067",2.22:1,49.96%,3.24%,2.15%,166.78,"12,466"
118,Udyr,"8,785",2.21:1,49.53%,3.14%,1.94%,175.88,"11,981"
119,Riven,"8,613",1.92:1,48.42%,3.08%,1%,178.45,"12,092"
120,Bel'Veth,"8,531",2.13:1,48.59%,3.05%,3.6%,183.09,"12,326"
121,Zeri,"8,464",2.51:1,52.85%,3.02%,1.32%,219.53,"13,600"
122,Braum,"8,456",2.77:1,49.59%,3.02%,1.1%,29.69,"8,494"
123,Jarvan IV,"8,318",3:1,50.7%,2.97%,0.82%,158.62,"11,904"
124,Kog'Maw,"8,229",2.18:1,51.55%,2.94%,2.42%,181.27,"12,728"
125,Zac,"7,978",2.96:1,49.54%,2.85%,1.57%,147.43,"11,057"
126,Tryndamere,"7,934",1.73:1,49.22%,2.83%,1.96%,203.03,"12,969"
127,Lissandra,"7,922",2.33:1,49.31%,2.83%,1.29%,175.97,"11,627"
128,Rakan,"7,880",2.68:1,47.18%,2.81%,0.29%,34.38,"8,376"
129,Rammus,"7,855",2.74:1,51.76%,2.8%,7.16%,144.79,"10,927"
130,Rengar,"7,721",1.95:1,44.14%,2.76%,1.56%,178.55,"12,447"
131,Camille,"7,593",1.9:1,48.61%,2.71%,0.96%,156.41,"11,698"
132,Sejuani,"7,242",2.68:1,48.36%,2.59%,0.24%,156.62,"11,116"
133,Gangplank,"7,217",2.05:1,46.94%,2.58%,0.86%,200.54,"14,020"
134,Corki,"7,079",2.37:1,48.79%,2.53%,1.76%,201.16,"12,994"
135,Kassadin,"6,891",2.46:1,48.93%,2.46%,2.48%,175.21,"12,091"
136,Rell,"6,773",2.74:1,48.04%,2.42%,0.6%,32.26,"8,766"
137,Orianna,"6,762",2.65:1,47.97%,2.41%,0.32%,176.71,"11,631"
138,Fiora,"6,699",1.52:1,47.34%,2.39%,4.4%,185.08,"12,251"
139,Nilah,"6,617",2.26:1,52.76%,2.36%,6.14%,185.73,"13,126"
140,Ryze,"6,535",2.26:1,50.88%,2.33%,0.23%,199.62,"12,345"
141,Skarner,"6,514",2.7:1,46.45%,2.33%,2.22%,148.74,"10,841"
142,Hecarim,"6,480",2.42:1,47.72%,2.31%,1.23%,188.18,"12,408"
143,Elise,"6,383",2.28:1,48.49%,2.28%,0.72%,150.9,"12,003"
144,Gnar,"6,333",1.9:1,48.68%,2.26%,0.46%,171.49,"11,825"
145,Akshan,"6,306",2.18:1,47.64%,2.25%,1.69%,166.41,"12,888"
146,Karthus,"6,121",2.21:1,47.2%,2.19%,0.57%,203.36,"13,467"
147,Zilean,"6,021",3.14:1,50.52%,2.15%,0.59%,69.25,"9,144"
148,Renata Glasc,"5,957",2.74:1,48.67%,2.13%,0.25%,35.43,"8,627"
149,Singed,"5,791",1.93:1,51.6%,2.07%,0.37%,182.52,"11,821"
150,Qiyana,"5,598",2.08:1,47.3%,2%,0.29%,167.15,"12,307"
151,Azir,"5,595",1.97:1,48.65%,2%,0.49%,195.42,"12,263"
152,Shyvana,"5,514",2.2:1,50.54%,1.97%,0.48%,200.69,"12,666"
153,Olaf,"4,861",1.75:1,47.32%,1.74%,1.12%,178.26,"12,323"
154,Alistar,"4,686",2.4:1,48.83%,1.67%,0.47%,33.42,"8,408"
155,Kalista,"4,649",2.09:1,47.24%,1.66%,0.7%,181.71,"12,941"
156,Twisted Fate,"4,646",2.11:1,48.28%,1.66%,0.12%,169.36,"12,609"
157,Taric,"4,629",2.57:1,51.65%,1.65%,0.38%,44.36,"8,636"
158,Kennen,"4,469",2.11:1,49.7%,1.6%,0.64%,163.74,"11,668"
159,Quinn,"4,427",1.92:1,47.46%,1.58%,0.82%,155.74,"12,374"
160,Cassiopeia,"4,307",2.06:1,50.01%,1.54%,0.64%,176.78,"11,885"
161,Annie,"4,271",2.29:1,49.36%,1.53%,0.2%,135.55,"11,143"
162,Anivia,"4,147",2.6:1,50.57%,1.48%,0.6%,165.15,"11,535"
163,Kled,"3,989",2.1:1,50.16%,1.42%,0.8%,159.05,"12,300"
164,Bard,"3,713",2.76:1,47.43%,1.33%,0.2%,37.01,"9,006"
165,Taliyah,"3,704",2.29:1,48.46%,1.32%,0.18%,178.29,"12,190"
166,Nidalee,"3,375",2.35:1,45.16%,1.21%,0.15%,141.47,"11,563"
167,Rumble,"3,297",1.95:1,46.83%,1.18%,0.25%,171.95,"11,925"
168,Ivern,"3,165",3.08:1,47.42%,1.13%,0.34%,132.7,"10,272"
169,Rek'Sai,"2,734",2.39:1,47.11%,0.98%,0.2%,151.29,"11,737"
